Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Alexandre Lacazette,9.0,fr FRA,FW,26-174,72,0,1,0,0,1,0,0,0,27,0,0,2,0.1,0.1,0.5,2,1,16,21,76.2,1,20,0,1,1,Arsenal
Francis Coquelin,34.0,fr FRA,CM,26-189,18,0,0,0,0,0,0,0,0,10,1,1,0,0.0,0.0,0.6,1,0,6,7,85.7,1,6,0,0,0,Arsenal
Alexis Sánchez,7.0,cl CHI,"AM,FW",28-334,90,1,0,0,0,6,4,1,0,57,2,0,0,1.7,1.7,0.2,10,1,25,40,62.5,9,46,3,6,5,Arsenal
Mesut Özil,11.0,de GER,AM,29-034,83,0,1,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.6,5,1,28,40,70.0,4,31,2,2,0,Arsenal
Alex Iwobi,17.0,ng NGA,AM,21-199,7,0,0,0,0,2,0,0,0,8,1,0,0,0.1,0.1,0.0,1,0,4,5,80.0,0,7,0,0,0,Arsenal
Granit Xhaka,29.0,ch SUI,CM,25-052,90,0,0,0,0,2,0,1,0,59,1,0,1,0.1,0.1,0.0,0,0,35,49,71.4,6,28,2,1,0,Arsenal
Aaron Ramsey,8.0,wls WAL,"CM,AM",26-327,90,0,0,0,0,0,0,0,0,51,5,2,2,0.0,0.0,0.0,2,0,27,38,71.1,5,27,1,0,0,Arsenal
Sead Kolašinac,31.0,ba BIH,WB,24-151,90,0,0,0,0,1,0,0,0,59,2,1,0,0.0,0.0,0.0,0,0,31,48,64.6,6,27,3,0,0,Arsenal
Héctor Bellerín,24.0,es ESP,WB,22-244,90,0,0,0,0,1,0,0,0,61,0,2,0,0.1,0.1,0.0,3,1,34,51,66.7,5,34,1,2,1,Arsenal
Nacho Monreal,18.0,es ESP,CB,31-265,90,0,0,0,0,0,0,1,0,49,1,5,0,0.0,0.0,0.0,0,0,33,38,86.8,6,24,1,0,0,Arsenal
Shkodran Mustafi,20.0,de GER,CB,25-215,90,1,0,0,0,1,1,1,0,54,0,2,1,0.1,0.1,0.0,0,0,24,35,68.6,4,18,0,0,0,Arsenal
Laurent Koscielny,6.0,fr FRA,CB,32-069,90,0,0,0,0,0,0,0,0,62,3,3,2,0.0,0.0,0.0,0,0,28,41,68.3,1,24,1,0,0,Arsenal
Petr Čech,33.0,cz CZE,GK,35-182,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,13,34,38.2,0,14,0,0,0,Arsenal
13 Players,,,,,990,2,2,0,0,14,5,4,0,581,18,16,8,2.1,2.1,2.0,24,4,304,447,68.0,48,306,14,12,7,Arsenal
Dele Alli,20.0,eng ENG,FW,21-221,74,0,0,0,0,2,0,0,0,36,0,0,1,0.1,0.1,0.0,1,0,21,28,75.0,3,23,3,4,3,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,CM,25-133,16,0,0,0,0,2,0,0,0,9,0,0,0,0.1,0.1,0.0,1,0,4,6,66.7,0,6,0,0,0,Tottenham Hotspur
Harry Kane,10.0,eng ENG,FW,24-113,74,0,0,0,0,5,2,1,0,33,1,1,1,0.3,0.3,0.0,4,0,11,14,78.6,1,19,0,4,2,Tottenham Hotspur
Fernando Llorente,18.0,es ESP,FW,32-265,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,2,0,4,5,80.0,1,4,0,0,0,Tottenham Hotspur
Christian Eriksen,23.0,dk DEN,CM,25-277,90,0,0,0,0,3,1,0,0,64,0,1,3,0.1,0.1,0.1,4,0,41,56,73.2,11,40,2,0,0,Tottenham Hotspur
Mousa Dembélé,19.0,be BEL,CM,30-125,61,0,0,0,0,0,0,0,0,57,2,4,2,0.0,0.0,0.1,2,0,41,47,87.2,7,34,1,3,3,Tottenham Hotspur
Harry Winks,29.0,eng ENG,CM,21-289,29,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,37,43,86.0,5,32,2,1,1,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,CM,28-094,90,0,0,0,0,0,0,0,0,64,1,0,0,0.0,0.0,0.1,4,0,47,55,85.5,6,39,3,5,3,Tottenham Hotspur
Ben Davies,33.0,wls WAL,WB,24-208,90,0,0,0,0,0,0,0,0,72,2,2,2,0.0,0.0,0.2,4,0,39,60,65.0,5,37,5,2,2,Tottenham Hotspur
Kieran Trippier,2.0,eng ENG,WB,27-060,90,0,0,0,0,0,0,0,0,74,0,1,4,0.0,0.0,0.0,1,0,52,66,78.8,3,28,0,1,0,Tottenham Hotspur
Jan Vertonghen,5.0,be BEL,CB,30-208,90,0,0,0,0,0,0,0,0,79,2,4,1,0.0,0.0,0.1,2,0,60,70,85.7,6,38,2,0,0,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,23-307,90,0,0,0,0,1,1,0,0,66,1,1,2,0.1,0.1,0.0,2,0,45,56,80.4,0,42,2,0,0,Tottenham Hotspur
Davinson Sánchez,6.0,co COL,CB,21-159,90,0,0,0,0,1,0,0,0,83,2,3,1,0.0,0.0,0.0,0,0,52,70,74.3,2,41,0,1,1,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,30-327,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,18,28,64.3,0,16,0,0,0,Tottenham Hotspur
14 Players,,,,,990,0,0,0,0,14,4,1,0,721,12,17,18,0.7,0.7,0.6,27,0,472,604,78.1,50,399,20,21,15,Tottenham Hotspur
