Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Olivier Giroud,12.0,fr FRA,FW,30-199,90,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,Arsenal
Alexis Sánchez,7.0,cl CHI,AM,28-119,89,1,0,0,0,2,2,0,0,3,3,0,1,1,2,0,0,0,Arsenal
Francis Coquelin,34.0,fr FRA,"DF,MF",25-339,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Arsenal
Mesut Özil,11.0,de GER,AM,28-184,89,1,0,0,0,1,1,0,0,2,1,0,4,3,0,0,0,0,Arsenal
Héctor Bellerín,24.0,es ESP,"DF,MF",22-029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arsenal
Granit Xhaka,29.0,ch SUI,DM,24-202,90,0,0,0,0,1,0,0,0,2,2,0,0,2,1,0,0,0,Arsenal
Aaron Ramsey,8.0,wls WAL,DM,26-112,90,0,1,0,0,1,0,0,0,2,1,0,1,1,2,0,0,0,Arsenal
Nacho Monreal,18.0,es ESP,DM,31-050,90,0,0,0,0,1,0,0,0,2,2,0,4,4,2,0,0,0,Arsenal
Alex Oxlade-Chamberlain,15.0,eng ENG,DM,23-245,90,0,0,0,0,2,1,1,0,1,2,0,9,2,0,0,0,0,Arsenal
Rob Holding,16.0,eng ENG,CB,21-209,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Arsenal
Laurent Koscielny,6.0,fr FRA,CB,31-219,90,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Arsenal
Gabriel Paulista,5.0,br BRA,CB,26-142,90,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,Arsenal
Petr Čech,33.0,cz CZE,GK,34-332,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arsenal
13 Players,,,,,990,2,1,0,0,12,4,2,0,16,11,0,19,14,12,0,0,0,Arsenal
