Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Eddie Nketiah,30.0,eng ENG,FW,21-328,73,0,0,0,0,2,0,0,0,26,2,0,1,0.1,0.1,0.1,3,0,17,18,94.4,3,15,3,1,1,Arsenal
Gabriel Martinelli,35.0,br BRA,FW,19-309,17,0,0,0,0,1,1,0,0,7,0,1,0,0.1,0.1,0.0,1,0,2,3,66.7,0,2,0,0,0,Arsenal
Nicolas Pépé,19.0,ci CIV,LW,25-329,73,0,0,0,0,1,0,0,0,45,0,0,0,0.1,0.1,0.1,3,0,32,38,84.2,3,24,3,2,1,Arsenal
Martin Ødegaard,11.0,no NOR,AM,22-127,17,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,14,14,100.0,1,7,0,0,0,Arsenal
Bukayo Saka,7.0,eng ENG,"RW,RB,LW",19-230,90,0,0,0,0,2,1,0,0,64,0,0,1,0.1,0.1,0.1,5,0,36,49,73.5,2,32,4,3,1,Arsenal
Emile Smith Rowe,32.0,eng ENG,"AM,RW",20-269,90,0,0,0,0,0,0,0,0,54,0,1,0,0.0,0.0,0.0,0,0,42,47,89.4,7,36,2,2,0,Arsenal
Dani Ceballos,8.0,es ESP,DM,24-259,90,0,0,0,0,3,1,0,0,82,0,1,3,0.2,0.2,0.1,6,0,65,73,89.0,7,42,0,4,2,Arsenal
Thomas Partey,18.0,gh GHA,DM,27-314,90,0,0,0,0,3,0,1,0,98,2,2,3,0.1,0.1,0.1,3,0,80,90,88.9,11,46,0,0,0,Arsenal
Granit Xhaka,34.0,ch SUI,LB,28-208,90,0,0,0,0,0,0,0,0,112,3,0,1,0.0,0.0,0.1,1,0,93,102,91.2,16,57,1,2,0,Arsenal
Pablo Marí,22.0,es ESP,CB,27-235,90,0,0,0,0,0,0,0,0,83,1,2,1,0.0,0.0,0.0,0,0,75,77,97.4,6,51,0,0,0,Arsenal
Rob Holding,16.0,eng ENG,CB,25-215,90,0,0,0,0,0,0,0,0,91,2,1,2,0.0,0.0,0.0,0,0,73,81,90.1,5,38,0,0,0,Arsenal
Calum Chambers,21.0,eng ENG,RB,26-093,82,0,0,0,0,2,0,0,0,61,0,1,0,0.2,0.2,0.1,3,0,44,53,83.0,3,21,2,2,1,Arsenal
Willian,12.0,br BRA,LW,32-257,8,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,10,12,83.3,1,9,1,0,0,Arsenal
Bernd Leno,1.0,de GER,GK,29-050,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,0,12,0,0,0,Arsenal
14 Players,,,,,990,0,0,0,0,14,3,1,0,774,10,9,12,0.8,0.8,0.7,26,0,602,679,88.7,65,392,16,16,6,Arsenal
