Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Pierre-Emerick Aubameyang,14.0,ga GAB,"FW,LW",31-248,90,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,9,11,81.8,0,11,0,1,0,Arsenal
Bukayo Saka,7.0,eng ENG,"LW,RW",19-169,90,0,0,0,0,3,0,0,0,46,1,0,0,0.2,0.2,0.0,2,0,29,36,80.6,6,30,4,3,3,Arsenal
Nicolas Pépé,19.0,ci CIV,RW,25-268,72,0,0,0,0,2,0,0,0,21,0,1,0,0.1,0.1,0.0,0,0,13,16,81.3,0,15,4,1,0,Arsenal
Emile Smith Rowe,32.0,eng ENG,AM,20-208,18,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,Arsenal
Martin Ødegaard,11.0,no NOR,AM,22-066,72,0,0,0,0,0,0,0,0,38,1,0,0,0.0,0.0,0.0,0,0,28,34,82.4,1,25,1,1,1,Arsenal
Alexandre Lacazette,9.0,fr FRA,FW,29-269,18,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0,Arsenal
Granit Xhaka,34.0,ch SUI,DM,28-147,90,0,0,0,0,0,0,1,0,85,0,1,1,0.0,0.0,0.1,3,0,68,78,87.2,7,59,1,2,1,Arsenal
Mohamed Elneny,25.0,eg EGY,DM,28-225,85,0,0,0,0,1,0,0,0,69,1,1,1,0.0,0.0,0.0,0,0,61,63,96.8,3,52,0,1,1,Arsenal
Dani Ceballos,8.0,es ESP,DM,24-198,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,2,2,1,0,0,Arsenal
Kieran Tierney,3.0,sct SCO,LB,23-261,90,0,0,0,0,1,1,0,0,61,0,0,1,0.0,0.0,0.1,2,0,36,51,70.6,2,36,1,2,1,Arsenal
Pablo Marí,22.0,es ESP,CB,27-174,90,0,0,0,0,0,0,0,0,62,1,0,1,0.0,0.0,0.0,0,0,53,59,89.8,2,51,0,2,2,Arsenal
Rob Holding,16.0,eng ENG,CB,25-154,81,0,0,0,0,0,0,0,0,70,4,2,6,0.0,0.0,0.0,0,0,47,57,82.5,3,49,0,1,1,Arsenal
David Luiz,23.0,br BRA,CB,33-305,9,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,0,5,0,0,0,Arsenal
Héctor Bellerín,2.0,es ESP,RB,25-339,90,0,0,0,0,0,0,1,0,41,0,0,1,0.0,0.0,0.0,1,0,28,37,75.7,2,26,1,0,0,Arsenal
Bernd Leno,1.0,de GER,GK,28-354,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,37,44,84.1,0,23,0,0,0,Arsenal
15 Players,,,,,990,0,0,0,0,7,1,2,0,581,8,6,11,0.3,0.3,0.2,9,0,424,509,83.3,29,391,13,14,10,Arsenal
