Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,24-362,90,0,1,0,0,9,2,0,0,36,0,0,0,1.4,1.4,0.4,9,3,17,21,81.0,2,24,6,0,0,Aston Villa
Anwar El Ghazi,21.0,nl NED,"LW,RW",25-237,85,1,0,0,0,5,4,0,0,56,0,2,0,1.0,1.0,0.2,5,0,23,42,54.8,0,34,6,8,6,Aston Villa
Ahmed Elmohamady,27.0,eg EGY,RW,33-108,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,Aston Villa
Bertrand Traoré,15.0,bf BFA,RW,25-111,44,1,0,0,0,3,1,0,0,28,1,0,0,0.7,0.7,0.8,5,0,13,22,59.1,3,17,1,3,2,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,23-064,46,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,2,0,0,0,Aston Villa
Jack Grealish,10.0,eng ENG,"AM,LW",25-107,90,0,0,0,0,2,1,1,0,48,3,0,3,0.7,0.7,1.0,10,1,28,36,77.8,9,27,7,4,2,Aston Villa
John McGinn,7.0,sct SCO,DM,26-069,90,0,0,0,0,0,0,0,0,34,3,1,0,0.0,0.0,0.0,2,0,23,26,88.5,2,26,0,2,1,Aston Villa
Douglas Luiz,6.0,br BRA,DM,22-231,89,0,0,0,0,0,0,0,0,50,0,1,0,0.0,0.0,0.0,1,0,33,39,84.6,6,26,2,3,2,Aston Villa
Jacob Ramsey,41.0,eng ENG,DM,19-212,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Aston Villa
