Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Gabriel Agbonlahor,11.0,eng ENG,FW,29-116,90,1,0,0,0,4,2,0,0,4,2,0,0,1,0,0,,,Aston Villa
Jordan Veretout,17.0,fr FRA,DM,22-342,90,0,1,0,0,1,0,0,0,0,2,1,0,0,2,0,,,Aston Villa
Carles Gil,25.0,es ESP,AM,23-076,90,0,0,0,0,2,0,0,0,0,1,0,6,1,1,0,,,Aston Villa
Ashley Westwood,15.0,eng ENG,DM,25-311,90,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,,,Aston Villa
Idrissa Gana Gueye,8.0,sn SEN,DM,26-133,90,0,0,0,0,0,0,0,0,0,2,0,0,4,7,0,,,Aston Villa
Leandro Bacuna,7.0,cw CUW,RB,24-169,90,0,0,0,0,2,0,0,0,3,0,0,4,1,2,0,,,Aston Villa
Aly Cissokho,43.0,fr FRA,LB,28-144,90,0,0,0,0,0,0,0,0,2,0,0,6,1,3,0,,,Aston Villa
Joleon Lescott,16.0,eng ENG,CB,33-174,90,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,,,Aston Villa
Jores Okore,5.0,dk DEN,DM,23-179,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,Aston Villa
Micah Richards,4.0,eng ENG,CB,27-227,89,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,,,Aston Villa
Ciaran Clark,6.0,ie IRL,"DF,MF",26-133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Aston Villa
Mark Bunn,31.0,eng ENG,GK,31-082,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Aston Villa
12 Players,,,,,990,1,1,0,0,11,3,0,0,10,11,1,19,12,21,0,,,Aston Villa
Dieumerci Mbokani,9.0,cd COD,FW,30-076,90,0,0,0,0,5,3,0,0,3,2,4,0,0,0,0,,,Norwich City
Steven Naismith,7.0,sct SCO,AM,29-145,79,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,,,Norwich City
Matthew Jarvis,16.0,eng ENG,MF,29-260,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,,Norwich City
Wes Hoolahan,14.0,ie IRL,AM,33-262,55,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,,,Norwich City
Patrick Bamford,11.0,eng ENG,"FW,MF",22-154,35,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,Norwich City
Youssouf Mulumbu,18.0,cd COD,DM,29-012,55,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,,,Norwich City
Nathan Redmond,22.0,eng ENG,"FW,MF",21-337,35,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,,,Norwich City
Gary O'Neil,28.0,eng ENG,DM,32-264,90,0,0,0,0,1,0,0,0,1,0,0,8,1,1,0,,,Norwich City
Jonny Howson,8.0,eng ENG,AM,27-261,90,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,,,Norwich City
Robbie Brady,12.0,ie IRL,RB,24-023,90,0,0,0,0,2,1,0,0,1,1,0,7,3,3,0,,,Norwich City
Sébastien Bassong,6.0,cm CMR,CB,29-212,90,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,,,Norwich City
Timm Klose,15.0,ch SUI,LB,27-273,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,,,Norwich City
Russell Martin,5.0,sct SCO,CB,30-033,90,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,,,Norwich City
Declan Rudd,13.0,eng ENG,GK,25-021,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Norwich City
14 Players,,,,,990,0,0,0,0,13,5,2,0,11,10,5,29,16,8,1,,,Norwich City
