Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jordan Ayew,19.0,gh GHA,FW,24-106,90,1,0,1,1,3,2,0,0,2,2,1,4,1,0,0,,,Aston Villa
Rudy Gestede,39.0,bj BEN,FW,27-077,90,0,0,0,0,5,3,0,0,3,1,1,1,1,0,0,,,Aston Villa
Jordan Veretout,17.0,fr FRA,AM,22-300,82,0,0,0,0,1,1,0,0,0,0,0,13,1,2,0,,,Aston Villa
Adama Traoré,20.0,es ESP,"FW,MF",19-335,8,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,,,Aston Villa
Idrissa Gana Gueye,8.0,sn SEN,DM,26-091,90,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,,,Aston Villa
Carlos Sánchez,24.0,co COL,DM,29-323,37,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Aston Villa
Carles Gil,25.0,es ESP,"FW,MF",23-034,53,0,0,0,0,1,0,0,0,0,2,0,5,2,0,0,,,Aston Villa
Ashley Westwood,15.0,eng ENG,DM,25-269,90,0,0,0,0,3,0,0,0,1,0,0,1,1,2,0,,,Aston Villa
Leandro Bacuna,7.0,cw CUW,LB,24-127,90,0,0,0,0,1,1,1,0,2,0,1,8,3,1,0,,,Aston Villa
Joleon Lescott,16.0,eng ENG,CB,33-132,90,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,,,Aston Villa
Jores Okore,5.0,dk DEN,CB,23-137,90,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,,Aston Villa
Alan Hutton,21.0,sct SCO,RB,31-026,90,0,0,0,0,1,1,1,0,4,4,0,8,1,1,0,,,Aston Villa
Brad Guzan,1.0,us USA,GK,31-108,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Aston Villa
13 Players,,,,,990,1,0,1,1,15,8,3,0,14,12,3,43,14,15,0,,,Aston Villa
Enner Valencia,11.0,ec ECU,FW,26-052,90,0,0,0,0,2,1,0,0,2,1,0,1,2,0,0,,,West Ham United
Michail Antonio,30.0,jm JAM,AM,25-273,90,0,1,0,0,1,0,0,0,3,4,1,0,0,0,0,,,West Ham United
Mauro Zárate,10.0,ar ARG,AM,28-283,84,0,0,0,0,1,1,0,0,0,1,0,9,2,0,0,,,West Ham United
Reece Oxford,35.0,eng ENG,DF,17-010,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,West Ham United
Mark Noble,16.0,eng ENG,AM,28-232,90,0,0,0,0,1,0,0,0,1,2,0,2,3,1,0,,,West Ham United
Pedro Obiang,14.0,gq EQG,DM,23-274,90,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,,,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,DM,26-005,90,0,0,0,0,2,0,1,0,2,1,0,2,2,1,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,26-011,74,1,0,0,0,1,1,0,0,0,2,0,2,1,1,0,,,West Ham United
Alexandre Song,4.0,cm CMR,"DF,MF",28-108,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,27-217,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,,,West Ham United
James Collins,19.0,wls WAL,CB,32-125,90,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,,,West Ham United
James Tomkins,5.0,eng ENG,RB,26-272,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,West Ham United
Carl Jenkinson,12.0,eng ENG,DF,23-321,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,West Ham United
Adrián,13.0,es ESP,GK,28-357,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Ham United
14 Players,,,,,990,1,1,0,0,10,4,3,0,13,12,1,16,14,9,0,,,West Ham United
