Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,25-101,90,1,0,0,0,1,1,1,0,34,0,0,1,0.1,0.1,0.2,3,0,17,25,68.0,5,24,3,3,3,Aston Villa
Trézéguet,17.0,eg EGY,LW,26-191,81,0,0,0,0,3,1,0,0,35,3,2,2,0.2,0.2,0.0,2,0,8,17,47.1,1,17,0,1,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,RW,19-317,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,7,0,1,0,Aston Villa
Bertrand Traoré,15.0,bf BFA,RW,25-216,67,0,0,0,0,1,0,0,0,23,1,0,1,0.1,0.1,0.0,2,0,8,17,47.1,2,16,0,3,3,Aston Villa
Anwar El Ghazi,21.0,nl NED,"LW,RM",25-342,23,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,5,6,83.3,0,5,0,1,0,Aston Villa
Douglas Luiz,6.0,br BRA,"LM,DM",22-336,90,0,0,0,0,0,0,1,0,45,1,1,1,0.0,0.0,0.0,2,1,29,37,78.4,2,18,0,0,0,Aston Villa
Marvelous Nakamba,19.0,zw ZIM,CM,27-081,65,0,0,0,0,0,0,0,0,32,4,3,2,0.0,0.0,0.0,0,0,14,20,70.0,0,18,0,0,0,Aston Villa
Ross Barkley,20.0,eng ENG,"CM,AM",27-126,25,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,1,9,1,0,0,Aston Villa
John McGinn,7.0,sct SCO,"RM,DM",26-174,90,0,1,0,0,0,0,0,0,31,0,2,2,0.0,0.0,0.1,3,1,17,26,65.4,4,14,0,1,1,Aston Villa
Matt Targett,18.0,eng ENG,LB,25-204,90,0,0,0,0,0,0,1,0,52,4,2,3,0.0,0.0,0.1,1,0,29,40,72.5,4,15,0,2,1,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,28-028,90,0,0,0,0,0,0,0,0,40,1,0,3,0.0,0.0,0.0,1,0,14,23,60.9,4,11,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,23-169,90,0,0,0,0,1,1,1,0,43,2,1,2,0.1,0.1,0.0,0,0,25,32,78.1,1,18,0,0,0,Aston Villa
Matty Cash,2.0,pl POL,RB,23-246,90,0,0,0,0,1,1,0,0,67,2,6,6,0.0,0.0,0.1,1,0,35,47,74.5,1,23,2,1,0,Aston Villa
Emiliano Martínez,26.0,ar ARG,GK,28-220,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,26,41,63.4,0,14,0,0,0,Aston Villa
14 Players,,,,,990,1,1,0,0,9,5,4,0,481,18,17,23,0.5,0.5,0.5,17,2,237,344,68.9,25,209,6,13,8,Aston Villa
