Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jordan Ayew,19.0,gh GHA,FW,24-225,58,0,0,0,0,4,1,0,0,1,2,0,2,0,0,0,,,Aston Villa
Rudy Gestede,39.0,bj BEN,FW,27-196,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,Aston Villa
Scott Sinclair,9.0,eng ENG,FW,27-029,90,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,,,Aston Villa
Leandro Bacuna,7.0,cw CUW,FW,24-246,90,0,0,0,0,2,0,0,0,0,1,0,2,2,1,0,,,Aston Villa
Carlos Sánchez,24.0,co COL,CM,30-077,67,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,Aston Villa
Jack Grealish,40.0,eng ENG,"FW,MF",20-226,23,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,,,Aston Villa
Idrissa Gana Gueye,8.0,sn SEN,CM,26-210,90,0,0,0,0,2,1,1,0,3,0,0,0,2,1,0,,,Aston Villa
Ashley Westwood,15.0,eng ENG,CM,26-022,90,2,0,0,0,4,3,0,0,0,2,0,5,1,4,0,,,Aston Villa
Aly Cissokho,43.0,fr FRA,LB,28-221,90,0,0,0,0,0,0,0,0,0,1,0,4,1,2,0,,,Aston Villa
Joleon Lescott,16.0,eng ENG,CB,33-251,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,Aston Villa
Micah Richards,4.0,eng ENG,CB,27-304,45,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Aston Villa
Kevin Toner,46.0,ie IRL,DF,19-280,45,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,,,Aston Villa
Alan Hutton,21.0,sct SCO,RB,31-145,90,0,0,0,0,1,1,1,0,2,2,0,3,1,3,0,,,Aston Villa
Brad Guzan,1.0,us USA,GK,31-227,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Aston Villa
14 Players,,,,,990,2,1,0,0,16,7,2,0,8,9,0,23,17,20,0,,,Aston Villa
