Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jordan Ayew,19.0,gh GHA,FW,24-108,90,0,0,0,0,2,2,1,0,5,2,0,0,1,0,0,,,Aston Villa
Kieran Richardson,18.0,eng ENG,AM,31-068,90,0,0,0,0,2,0,0,0,2,0,0,4,1,0,0,,,Aston Villa
Scott Sinclair,9.0,eng ENG,AM,26-278,57,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,,,Aston Villa
Adama Traoré,20.0,es ESP,"FW,MF",19-337,33,0,0,0,0,1,0,0,0,1,2,0,4,0,0,0,,,Aston Villa
Jordan Veretout,17.0,fr FRA,AM,22-302,80,0,0,0,0,0,0,1,0,2,0,0,11,1,0,0,,,Aston Villa
Jack Grealish,40.0,eng ENG,"FW,MF",20-109,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Aston Villa
Ashley Westwood,15.0,eng ENG,DM,25-271,90,0,0,0,0,0,0,1,0,1,1,0,0,2,3,0,,,Aston Villa
Idrissa Gana Gueye,8.0,sn SEN,DM,26-093,90,0,0,0,0,0,0,1,0,4,1,0,0,3,3,0,,,Aston Villa
Leandro Bacuna,7.0,cw CUW,LB,24-129,68,0,0,0,0,1,1,0,0,3,0,0,1,0,1,0,,,Aston Villa
Rudy Gestede,39.0,bj BEN,FW,27-079,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,Aston Villa
Ciaran Clark,6.0,ie IRL,CB,26-093,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,,,Aston Villa
Micah Richards,4.0,eng ENG,CB,27-187,90,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,,,Aston Villa
Alan Hutton,21.0,sct SCO,RB,31-028,90,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,,,Aston Villa
Brad Guzan,1.0,us USA,GK,31-110,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Aston Villa
14 Players,,,,,990,0,0,0,0,6,3,5,0,21,10,0,25,16,13,0,,,Aston Villa
