Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jordan Ayew,19.0,gh GHA,FW,24-247,90,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,,,Aston Villa
Scott Sinclair,9.0,eng ENG,FW,27-051,90,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,,Aston Villa
Idrissa Gana Gueye,8.0,sn SEN,CM,26-232,90,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,,,Aston Villa
Carlos Sánchez,24.0,co COL,CM,30-099,90,0,0,0,0,1,0,1,0,1,1,0,0,1,5,0,,,Aston Villa
Ashley Westwood,15.0,eng ENG,CM,26-044,90,0,0,0,0,1,1,0,0,0,1,0,6,0,2,0,,,Aston Villa
Aly Cissokho,43.0,fr FRA,LB,28-243,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,Aston Villa
Kevin Toner,46.0,ie IRL,CB,19-302,90,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,,,Aston Villa
Joleon Lescott,16.0,eng ENG,CB,33-273,64,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,,,Aston Villa
Micah Richards,4.0,eng ENG,DF,27-326,26,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,,,Aston Villa
Leandro Bacuna,7.0,cw CUW,FW,24-268,90,0,0,0,0,0,0,0,0,1,3,0,3,3,3,0,,,Aston Villa
Jordan Lyden,38.0,au AUS,RB,20-106,74,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,,Aston Villa
Jack Grealish,40.0,eng ENG,"FW,MF",20-248,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,Aston Villa
Mark Bunn,31.0,eng ENG,GK,31-181,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,Aston Villa
13 Players,,,,,990,0,0,0,0,5,2,1,0,7,12,0,12,12,20,1,,,Aston Villa
