Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Joshua King,17.0,no NOR,AM,24-057,90,1,0,0,0,6,1,0,0,1,1,0,1,1,0,0,,,Bournemouth
Benik Afobe,9.0,cd COD,FW,23-029,64,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,,,Bournemouth
Lewis Grabban,28.0,eng ENG,"FW,MF",28-060,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Bournemouth
Max Gradel,10.0,ci CIV,DM,28-103,75,1,1,0,0,2,1,0,0,1,2,0,3,2,2,0,,,Bournemouth
Marc Pugh,7.0,eng ENG,"FW,MF",28-345,15,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,Bournemouth
Andrew Surman,6.0,eng ENG,DM,29-205,90,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,,,Bournemouth
Dan Gosling,4.0,eng ENG,DM,26-040,45,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,,,Bournemouth
Eunan O'Kane,32.0,ie IRL,MF,25-246,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Bournemouth
Matt Ritchie,30.0,sct SCO,DM,26-184,90,0,1,0,0,1,0,0,0,1,4,0,3,2,3,0,,,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,29-187,90,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,,,Bournemouth
Steve Cook,3.0,eng ENG,CB,24-328,90,1,0,0,0,1,1,0,0,1,0,0,1,0,6,0,,,Bournemouth
Simon Francis,2.0,eng ENG,CB,31-025,90,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,,Bournemouth
Adam Smith,15.0,eng ENG,RB,24-318,90,0,0,0,0,0,0,0,0,0,3,0,3,2,1,0,,,Bournemouth
Artur Boruc,1.0,pl POL,GK,36-021,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
14 Players,,,,,990,3,2,0,0,12,4,1,0,12,11,1,13,13,25,0,,,Bournemouth
Alberto Paloschi,9.0,it ITA,FW,26-068,90,0,0,0,0,2,2,0,0,1,1,0,0,3,1,0,,,Swansea City
Wayne Routledge,15.0,eng ENG,FW,31-065,59,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,,,Swansea City
Bafétimbi Gomis,18.0,fr FRA,FW,30-219,31,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,Swansea City
Modou Barrow,58.0,gm GAM,CM,23-151,79,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,,,Swansea City
Marvin Emnes,11.0,nl NED,"FW,MF",27-290,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,Swansea City
Gylfi Sigurðsson,23.0,is ISL,LM,26-186,90,1,0,0,0,2,1,0,0,0,0,0,8,3,1,0,,,Swansea City
Leroy Fer,8.0,nl NED,CM,26-067,83,0,1,0,0,1,0,0,0,1,4,0,0,4,0,0,,,Swansea City
Ki Sung-yueng,4.0,kr KOR,MF,27-048,7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,Swansea City
Jack Cork,24.0,eng ENG,RM,26-261,90,0,0,0,0,0,0,0,0,1,2,0,0,5,4,0,,,Swansea City
Neil Taylor,3.0,wls WAL,LB,27-034,90,0,0,0,0,1,0,0,0,2,1,0,4,1,2,0,,,Swansea City
Ashley Williams,6.0,wls WAL,CB,31-202,90,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,,,Swansea City
Federico Fernández,33.0,ar ARG,CB,27-020,90,0,0,0,0,1,0,0,0,1,1,0,0,2,3,0,,,Swansea City
Àngel Rangel,22.0,es ESP,RB,33-136,90,0,0,0,0,1,0,0,0,1,2,0,2,3,4,0,,,Swansea City
Łukasz Fabiański,1.0,pl POL,GK,30-329,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Swansea City
14 Players,,,,,990,2,1,0,0,13,4,0,0,11,12,1,18,24,20,0,,,Swansea City
