Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Callum Wilson,13.0,eng ENG,FW,25-321,89,1,1,0,0,1,1,0,0,28,0,0,0,0.3,0.3,0.1,1,1,17,21,81.0,0,16,0,1,0,Bournemouth
Benik Afobe,9.0,cd COD,FW,24-336,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Bournemouth
Ryan Fraser,24.0,sct SCO,"AM,WB",23-324,90,0,1,0,0,6,1,0,0,45,0,0,0,0.2,0.2,0.3,1,1,19,34,55.9,3,22,2,1,0,Bournemouth
Jordon Ibe,33.0,eng ENG,AM,22-037,85,1,0,0,0,3,2,0,0,42,1,0,1,0.2,0.2,0.0,3,0,21,31,67.7,3,28,8,5,4,Bournemouth
Marc Pugh,7.0,eng ENG,AM,30-287,5,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,2,0,0,0,Bournemouth
Dan Gosling,4.0,eng ENG,CM,27-347,90,0,0,0,0,1,0,1,0,60,5,0,4,0.0,0.0,0.2,4,0,34,43,79.1,5,20,0,2,2,Bournemouth
Lewis Cook,16.0,eng ENG,CM,20-345,90,0,0,0,0,0,0,0,0,43,2,2,3,0.0,0.0,0.0,1,1,21,31,67.7,6,21,3,0,0,Bournemouth
Charlie Daniels,11.0,eng ENG,WB,31-129,62,0,0,0,0,0,0,0,0,31,0,0,1,0.0,0.0,0.1,2,0,15,28,53.6,1,18,0,0,0,Bournemouth
Lys Mousset,31.0,fr FRA,AM,21-340,28,0,0,0,0,0,0,0,0,21,3,1,1,0.0,0.0,0.0,1,1,4,9,44.4,1,7,0,2,0,Bournemouth
Adam Smith,15.0,eng ENG,WB,26-260,90,0,0,0,0,2,1,0,0,63,3,5,4,0.1,0.1,0.0,7,0,34,41,82.9,1,29,7,6,4,Bournemouth
Nathan Aké,5.0,nl NED,CB,22-330,90,0,0,0,0,0,0,0,0,48,4,0,3,0.0,0.0,0.0,0,0,26,35,74.3,1,12,1,1,1,Bournemouth
Steve Cook,3.0,eng ENG,CB,26-270,90,0,0,0,0,0,0,0,0,56,3,4,3,0.0,0.0,0.0,0,0,22,43,51.2,0,19,1,0,0,Bournemouth
Simon Francis,2.0,eng ENG,CB,32-332,90,0,0,0,0,0,0,1,0,67,2,1,0,0.0,0.0,0.0,0,0,26,58,44.8,1,26,2,2,2,Bournemouth
Asmir Begović,27.0,ba BIH,GK,30-208,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,16,33,48.5,0,11,0,0,0,Bournemouth
14 Players,,,,,990,2,2,0,0,13,5,2,0,551,24,13,20,0.8,0.8,0.7,20,4,260,414,62.8,23,234,24,20,13,Bournemouth
