Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Glenn Murray,27.0,eng ENG,FW,32-037,45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,Bournemouth
Joshua King,17.0,no NOR,"FW,MF",23-290,45,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,,,Bournemouth
Harry Arter,8.0,ie IRL,AM,25-308,72,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,,,Bournemouth
Lee Tomlin,24.0,eng ENG,"FW,MF",26-293,18,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,Bournemouth
Marc Pugh,7.0,eng ENG,DM,28-213,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Bournemouth
Junior Stanislas,19.0,eng ENG,"FW,MF",25-340,45,0,0,0,0,4,0,0,0,1,0,1,5,1,0,0,,,Bournemouth
Dan Gosling,4.0,eng ENG,DM,25-273,90,0,0,0,0,4,0,1,0,1,1,0,0,1,2,0,,,Bournemouth
Andrew Surman,6.0,eng ENG,DM,29-073,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,Bournemouth
Matt Ritchie,30.0,sct SCO,DM,26-052,90,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,,,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,29-055,90,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,,,Bournemouth
Sylvain Distin,25.0,fr FRA,CB,37-320,90,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,,,Bournemouth
Simon Francis,2.0,eng ENG,CB,30-258,90,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,,,Bournemouth
Adam Smith,15.0,eng ENG,RB,24-186,90,0,0,0,0,1,0,0,0,1,1,0,4,1,1,0,,,Bournemouth
Adam Federici,23.0,au AUS,GK,30-274,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
14 Players,,,,,990,0,0,0,0,16,2,2,0,5,5,1,17,11,12,0,,,Bournemouth
