Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ivan Toney,17.0,eng ENG,FW,25-150,90,0,0,0,0,0,0,0,0,33,1,0,0,0.0,0.0,0.1,1,0,11,26,42.3,4,11,0,1,1,Brentford
Bryan Mbeumo,19.0,cm CMR,FW,22-006,85,0,0,0,0,2,0,0,0,35,1,0,1,0.3,0.3,0.1,3,0,15,23,65.2,1,17,2,3,2,Brentford
Marcus Forss,9.0,fi FIN,FW,22-056,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,1,0,Brentford
Vitaly Janelt,27.0,de GER,CM,23-095,90,0,0,0,0,0,0,0,0,39,3,0,1,0.0,0.0,0.0,1,0,19,30,63.3,2,12,0,0,0,Brentford
Christian Nørgaard,6.0,dk DEN,CM,27-156,90,1,0,0,0,2,1,0,0,40,2,1,0,0.7,0.7,0.0,0,0,25,33,75.8,5,12,1,1,1,Brentford
Frank Onyeka,15.0,ng NGA,CM,23-224,79,0,0,0,0,1,0,0,0,26,2,0,0,0.1,0.1,0.1,2,0,14,17,82.4,2,10,2,2,1,Brentford
Mads Bidstrup,28.0,dk DEN,CM,20-169,11,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,4,4,100.0,0,1,0,0,0,Brentford
Rico Henry,3.0,jm JAM,WB,24-036,90,0,0,0,0,0,0,0,0,38,3,0,2,0.0,0.0,0.0,2,0,21,25,84.0,3,12,1,1,0,Brentford
Sergi Canós,7.0,es ESP,WB,24-192,90,1,0,0,0,3,2,0,0,44,7,3,1,0.1,0.1,0.3,2,0,13,23,56.5,1,18,2,0,0,Brentford
Ethan Pinnock,5.0,jm JAM,CB,28-076,90,0,1,0,0,0,0,0,0,59,0,3,2,0.0,0.0,0.0,1,1,30,46,65.2,4,21,0,1,1,Brentford
Pontus Jansson,18.0,se SWE,CB,30-181,90,0,0,0,0,0,0,0,0,30,0,1,1,0.0,0.0,0.0,0,0,17,22,77.3,0,14,0,0,0,Brentford
Kristoffer Ajer,20.0,no NOR,CB,23-118,70,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.3,1,0,21,36,58.3,0,11,0,1,1,Brentford
Mads Bech Sørensen,29.0,dk DEN,CB,22-218,20,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,Brentford
David Raya,1.0,es ESP,GK,25-332,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,25,51,49.0,0,23,0,0,0,Brentford
14 Players,,,,,990,2,1,0,0,8,3,0,0,455,20,9,8,1.2,1.2,0.8,13,1,217,343,63.3,22,165,9,11,7,Brentford
Folarin Balogun,26.0,us USA,FW,20-041,58,0,0,0,0,3,0,0,0,13,0,0,0,0.2,0.2,0.0,0,0,3,5,60.0,0,6,0,1,0,Arsenal
Bukayo Saka,7.0,eng ENG,LW,19-342,32,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,2,0,16,22,72.7,4,21,4,4,3,Arsenal
Gabriel Martinelli,35.0,br BRA,"LW,FW",20-056,70,0,0,0,0,1,0,0,0,22,1,0,2,0.2,0.2,0.1,2,0,7,10,70.0,0,9,0,2,0,Arsenal
Reiss Nelson,24.0,eng ENG,RW,21-246,20,0,0,0,0,1,0,0,0,16,1,0,1,0.1,0.1,0.0,3,0,8,12,66.7,0,10,0,0,0,Arsenal
Nicolas Pépé,19.0,ci CIV,"RW,FW",26-076,90,0,0,0,0,4,1,0,0,60,0,1,0,0.2,0.2,0.2,6,0,34,44,77.3,1,37,3,4,2,Arsenal
Emile Smith Rowe,10.0,eng ENG,AM,21-016,90,0,0,0,0,2,1,0,0,57,0,0,0,0.1,0.1,0.1,4,0,49,51,96.1,13,44,6,3,2,Arsenal
Granit Xhaka,34.0,ch SUI,DM,28-320,90,0,0,0,0,2,0,0,0,93,1,2,2,0.1,0.1,0.0,6,0,79,89,88.8,16,53,3,1,1,Arsenal
Albert Sambi Lokonga,23.0,be BEL,DM,21-295,90,0,0,0,0,2,1,0,0,83,2,2,0,0.0,0.0,0.1,4,0,64,73,87.7,5,62,2,0,0,Arsenal
Kieran Tierney,3.0,sct SCO,LB,24-069,90,0,0,0,0,3,1,0,0,89,0,0,2,0.1,0.1,0.4,13,0,61,76,80.3,5,45,3,5,1,Arsenal
Pablo Marí,22.0,es ESP,CB,27-347,90,0,0,0,0,1,0,0,0,72,1,1,0,0.1,0.1,0.0,1,0,50,60,83.3,7,48,0,0,0,Arsenal
Ben White,4.0,eng ENG,CB,23-309,90,0,0,0,0,0,0,0,0,71,1,1,0,0.0,0.0,0.0,1,0,56,62,90.3,6,44,0,0,0,Arsenal
Calum Chambers,21.0,eng ENG,RB,26-205,80,0,0,0,0,2,0,0,0,82,2,0,1,0.1,0.1,0.1,1,0,58,71,81.7,4,47,0,0,0,Arsenal
Nuno Tavares,20.0,pt POR,RB,21-199,10,0,0,0,0,1,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,1,8,0,0,0,Arsenal
Bernd Leno,1.0,de GER,GK,29-162,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,29,35,82.9,0,21,0,0,0,Arsenal
14 Players,,,,,990,0,0,0,0,22,4,0,0,742,9,7,10,1.3,1.3,1.1,43,0,522,620,84.2,62,455,21,20,9,Arsenal
