Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ivan Toney,17.0,eng ENG,FW,25-309,90,1,0,0,0,4,2,0,0,35,0,0,1,0.6,0.6,0.7,5,0,13,22,59.1,5,23,0,1,0,Brentford
Bryan Mbeumo,19.0,cm CMR,FW,22-165,90,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.1,5,0,19,27,70.4,3,28,2,3,1,Brentford
Vitaly Janelt,27.0,de GER,CM,23-254,63,0,0,0,0,3,2,0,0,27,0,0,1,0.2,0.2,0.0,3,0,14,20,70.0,5,11,1,0,0,Brentford
Shandon Baptiste,26.0,gd GRN,CM,23-286,27,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.1,2,0,24,26,92.3,4,19,0,1,1,Brentford
Christian Nørgaard,6.0,dk DEN,CM,27-315,90,0,1,0,0,1,0,0,0,68,5,2,2,0.1,0.1,0.9,4,0,41,53,77.4,6,28,0,1,1,Brentford
Mathias Jensen,8.0,dk DEN,CM,26-018,66,0,0,0,0,5,3,0,0,38,1,1,3,1.2,1.2,0.2,6,0,12,26,46.2,1,15,0,0,0,Brentford
Yoane Wissa,11.0,cd COD,CM,25-138,24,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,11,14,78.6,2,12,1,0,0,Brentford
Sergi Canós,7.0,es ESP,WB,24-351,63,0,0,0,0,0,0,0,0,24,1,1,0,0.0,0.0,0.0,0,0,6,17,35.3,1,12,0,2,1,Brentford
Rico Henry,3.0,jm JAM,WB,24-195,27,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,8,17,47.1,0,12,0,1,0,Brentford
Mads Roerslev,30.0,dk DEN,WB,22-209,90,0,0,0,0,1,0,0,0,45,1,1,1,0.1,0.1,0.0,0,0,25,35,71.4,4,25,0,1,0,Brentford
Mads Bech Sørensen,29.0,dk DEN,CB,23-012,90,0,0,0,0,1,0,0,0,70,2,0,1,0.1,0.1,0.1,3,0,44,61,72.1,2,33,1,0,0,Brentford
Pontus Jansson,18.0,se SWE,CB,30-340,90,0,0,0,0,0,0,0,0,55,2,0,1,0.0,0.0,0.0,0,0,37,46,80.4,4,28,0,0,0,Brentford
Ethan Pinnock,5.0,jm JAM,CB,28-235,90,0,0,0,0,3,2,0,0,80,3,1,2,0.2,0.2,0.0,1,1,39,57,68.4,6,35,1,1,1,Brentford
Jonas Lössl,49.0,dk DEN,GK,32-352,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,15,25,60.0,1,15,0,0,0,Brentford
14 Players,,,,,990,1,1,0,0,18,9,0,0,573,17,7,13,2.5,2.5,2.1,29,1,308,446,69.1,44,296,6,11,5,Brentford
Cristiano Ronaldo,7.0,pt POR,FW,36-348,70,0,0,0,0,3,0,0,0,33,1,0,1,0.1,0.1,0.0,3,1,21,27,77.8,5,21,2,0,0,Manchester United
Harry Maguire,5.0,eng ENG,CB,28-320,20,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,3,8,37.5,1,3,0,0,0,Manchester United
Anthony Elanga,36.0,se SWE,LW,19-267,90,1,0,0,0,1,1,0,0,45,0,0,0,0.5,0.5,0.0,1,0,27,35,77.1,1,21,1,4,1,Manchester United
Mason Greenwood,11.0,eng ENG,RW,20-110,70,1,0,0,0,2,1,0,0,47,1,0,0,0.9,0.9,0.0,1,0,28,37,75.7,3,27,4,2,1,Manchester United
Marcus Rashford,10.0,eng ENG,RW,24-080,20,1,0,0,0,1,1,0,0,8,0,0,2,0.1,0.1,0.0,0,0,2,3,66.7,0,5,0,3,2,Manchester United
Bruno Fernandes,18.0,pt POR,"AM,FW",27-133,90,0,2,0,0,2,1,0,0,77,1,1,2,0.4,0.4,1.3,5,2,47,64,73.4,12,42,4,1,0,Manchester United
Scott McTominay,39.0,sct SCO,"DM,CM",25-042,83,0,0,0,0,1,1,0,0,58,2,2,0,0.0,0.0,0.0,4,1,42,47,89.4,6,43,6,7,6,Manchester United
Nemanja Matić,31.0,rs SRB,CM,33-171,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,0,2,1,1,1,Manchester United
Fred,17.0,br BRA,"DM,CM",28-320,90,0,1,0,0,1,0,0,0,77,5,2,0,0.0,0.0,0.9,3,1,52,62,83.9,6,36,2,4,2,Manchester United
Alex Telles,27.0,br BRA,"LB,LM",29-035,90,0,0,0,0,0,0,0,0,82,0,2,1,0.0,0.0,0.0,2,0,52,75,69.3,3,41,3,0,0,Manchester United
Raphaël Varane,19.0,fr FRA,CB,28-269,90,0,0,0,0,1,0,0,0,70,3,0,2,0.1,0.1,0.0,0,0,48,58,82.8,1,36,0,0,0,Manchester United
Victor Lindelöf,2.0,se SWE,CB,27-186,90,0,0,0,0,0,0,0,0,60,2,1,3,0.0,0.0,0.0,0,0,42,48,87.5,1,29,0,1,1,Manchester United
Diogo Dalot,20.0,pt POR,"RB,RM",22-307,90,0,0,0,0,1,0,0,0,79,3,4,0,0.0,0.0,0.0,3,1,48,63,76.2,6,36,1,0,0,Manchester United
