Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Andre Gray,7.0,jm JAM,FW,25-286,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Burnley
Sam Vokes,9.0,wls WAL,FW,27-169,29,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Burnley
Ashley Barnes,10.0,eng ENG,FW,27-160,89,0,0,0,0,1,0,1,0,2,3,1,0,2,0,0,0,0,Burnley
James Tarkowski,26.0,eng ENG,DF,24-140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
Robbie Brady,12.0,ie IRL,LM,25-084,90,0,0,0,0,3,0,0,0,1,0,0,7,0,1,0,0,0,Burnley
Jeff Hendrick,13.0,ie IRL,CM,25-067,90,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,Burnley
Joey Barton,19.0,eng ENG,CM,34-218,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,Burnley
George Boyd,21.0,sct SCO,RM,31-188,90,0,0,0,0,1,0,0,0,0,1,0,1,4,2,0,0,0,Burnley
Stephen Ward,23.0,ie IRL,LB,31-231,90,0,0,0,0,0,0,1,0,1,0,0,6,1,3,0,0,0,Burnley
Ben Mee,6.0,eng ENG,CB,27-199,90,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,Burnley
Michael Keane,5.0,eng ENG,CB,24-087,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Burnley
Matthew Lowton,2.0,eng ENG,RB,27-303,90,0,0,0,0,0,0,0,0,2,1,0,3,1,3,0,0,0,Burnley
Tom Heaton,1.0,eng ENG,GK,30-358,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
13 Players,,,,,990,0,0,0,0,7,2,3,0,12,8,2,18,12,14,0,0,0,Burnley
