Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ashley Barnes,10.0,eng ENG,FW,28-061,80,0,0,0,0,2,0,0,0,28,0,0,0,0.1,0.1,0.1,3,0,8,17,47.1,1,23,1,2,2,Burnley
Nahki Wells,21.0,bm BER,FW,27-212,10,0,0,0,0,1,1,0,0,7,0,0,1,0.5,0.5,0.0,0,0,4,4,100.0,0,4,0,0,0,Burnley
Jeff Hendrick,13.0,ie IRL,FW,25-333,72,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,12,18,66.7,2,13,1,2,2,Burnley
Sam Vokes,9.0,wls WAL,FW,28-070,18,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.5,1,0,1,4,25.0,0,2,1,0,0,Burnley
Scott Arfield,37.0,ca CAN,LM,29-059,90,0,0,0,0,2,1,0,0,34,3,2,0,0.1,0.1,0.0,2,0,16,22,72.7,4,15,1,3,1,Burnley
Jack Cork,4.0,eng ENG,CM,28-188,90,0,0,0,0,0,0,0,0,36,4,2,0,0.0,0.0,0.0,1,0,15,25,60.0,0,14,1,0,0,Burnley
Steven Defour,16.0,be BEL,CM,29-259,90,0,0,0,0,2,0,0,0,49,1,2,2,0.1,0.1,0.0,1,0,26,37,70.3,6,15,1,0,0,Burnley
Jóhann Berg Guðmundsson,17.0,is ISL,RM,27-064,90,0,0,0,0,1,0,0,0,41,3,1,1,0.1,0.1,0.4,10,0,23,34,67.6,3,19,3,5,3,Burnley
Charlie Taylor,3.0,eng ENG,LB,24-103,90,0,0,0,0,0,0,0,0,51,2,1,0,0.0,0.0,0.0,0,0,29,43,67.4,2,13,2,1,0,Burnley
Ben Mee,6.0,eng ENG,CB,28-100,90,0,0,0,0,0,0,1,0,42,0,2,1,0.0,0.0,0.0,0,0,24,32,75.0,2,10,0,0,0,Burnley
Kevin Long,28.0,ie IRL,CB,27-134,90,0,0,0,0,1,1,0,0,33,3,0,0,0.1,0.1,0.0,0,0,11,22,50.0,1,12,0,0,0,Burnley
Phil Bardsley,26.0,sct SCO,RB,32-185,90,0,0,0,0,1,1,0,0,62,1,3,1,0.0,0.0,0.1,2,0,26,48,54.2,6,16,0,1,0,Burnley
Nick Pope,29.0,eng ENG,GK,25-255,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,1,0,15,36,41.7,0,16,0,0,0,Burnley
13 Players,,,,,990,0,0,0,0,11,4,1,0,446,17,13,6,1.2,1.2,1.0,22,0,210,342,61.4,27,172,11,14,8,Burnley
