Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Tammy Abraham,9.0,eng ENG,FW,23-058,78,0,0,0,0,4,0,0,0,24,0,0,1,0.4,0.4,0.0,0,0,8,14,57.1,2,9,1,1,1,Chelsea
Olivier Giroud,18.0,fr FRA,FW,34-060,12,0,0,0,0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Chelsea
Timo Werner,11.0,de GER,LW,24-268,73,0,0,0,0,1,0,0,0,34,0,1,2,0.0,0.0,0.1,3,0,17,25,68.0,0,21,0,0,0,Chelsea
Christian Pulisic,10.0,us USA,LW,22-072,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,0,6,1,0,0,Chelsea
Hakim Ziyech,22.0,ma MAR,RW,27-255,82,0,0,0,0,2,1,1,0,62,0,0,0,0.1,0.1,0.2,6,0,40,52,76.9,5,37,2,2,0,Chelsea
Kai Havertz,29.0,de GER,RW,21-171,8,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Chelsea
Mason Mount,19.0,eng ENG,LM,21-324,90,0,0,0,0,2,1,1,0,76,1,0,0,0.1,0.1,0.0,3,0,61,71,85.9,10,51,4,3,3,Chelsea
N'Golo Kanté,7.0,fr FRA,CM,29-245,90,0,0,0,0,0,0,0,0,83,3,1,2,0.0,0.0,0.1,4,0,67,74,90.5,7,53,1,1,1,Chelsea
Mateo Kovačić,17.0,hr CRO,RM,26-207,90,0,0,0,0,1,0,0,0,78,4,4,1,0.0,0.0,0.0,0,0,59,64,92.2,5,50,4,1,1,Chelsea
Ben Chilwell,21.0,eng ENG,LB,23-344,90,0,0,0,0,2,0,0,0,99,2,0,0,0.2,0.2,0.1,2,0,74,90,82.2,6,58,3,0,0,Chelsea
Thiago Silva,6.0,br BRA,CB,36-068,90,0,0,0,0,0,0,0,0,103,1,0,0,0.0,0.0,0.0,0,0,95,100,95.0,3,76,1,0,0,Chelsea
Kurt Zouma,15.0,fr FRA,CB,26-033,90,0,0,0,0,0,0,1,0,99,1,2,0,0.0,0.0,0.0,1,0,84,94,89.4,11,67,0,0,0,Chelsea
Reece James,24.0,eng ENG,RB,20-357,90,0,0,0,0,0,0,1,0,88,1,1,1,0.0,0.0,0.2,3,0,72,82,87.8,3,55,3,0,0,Chelsea
Edouard Mendy,16.0,sn SEN,GK,28-273,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,22,22,100.0,0,15,0,0,0,Chelsea
14 Players,,,,,990,0,0,0,0,13,3,4,0,788,13,9,8,0.8,0.8,0.7,23,0,608,701,86.7,52,503,20,8,6,Chelsea
Harry Kane,10.0,eng ENG,FW,27-124,90,0,0,0,0,1,0,0,0,38,0,0,0,0.1,0.1,0.1,2,0,23,29,79.3,7,20,1,0,0,Tottenham Hotspur
Steven Bergwijn,23.0,nl NED,LW,23-052,88,0,0,0,0,2,0,1,0,33,0,0,0,0.1,0.1,0.0,1,0,22,29,75.9,1,20,4,1,0,Tottenham Hotspur
Ben Davies,33.0,wls WAL,LB,27-219,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,RW,28-144,89,0,0,0,0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,1,0,33,37,89.2,1,25,0,2,2,Tottenham Hotspur
Lucas Moura,27.0,br BRA,RW,28-108,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Tottenham Hotspur
Tanguy Ndombele,28.0,fr FRA,AM,23-337,64,0,0,0,0,0,0,0,0,34,1,3,3,0.0,0.0,0.0,2,0,15,20,75.0,0,15,0,8,6,Tottenham Hotspur
Giovani Lo Celso,18.0,ar ARG,AM,24-234,26,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,10,18,55.6,2,9,0,1,0,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,DM,25-116,90,0,0,0,0,0,0,0,0,61,2,1,0,0.0,0.0,0.0,0,0,53,57,93.0,0,28,0,0,0,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,DM,31-105,90,0,0,0,0,0,0,0,0,35,0,0,1,0.0,0.0,0.0,0,0,20,29,69.0,1,17,1,0,0,Tottenham Hotspur
Sergio Reguilón,3.0,es ESP,"LB,LW",23-349,90,0,0,0,0,0,0,1,0,59,0,0,1,0.0,0.0,0.0,2,0,37,55,67.3,1,36,2,0,0,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,26-319,90,0,0,0,0,0,0,0,0,67,0,0,2,0.0,0.0,0.0,1,0,49,61,80.3,1,43,1,0,0,Tottenham Hotspur
Joe Rodon,14.0,wls WAL,CB,23-038,90,0,0,0,0,0,0,0,0,56,0,3,1,0.0,0.0,0.0,0,0,41,48,85.4,2,32,0,0,0,Tottenham Hotspur
Serge Aurier,24.0,ci CIV,RB,27-341,90,0,0,0,0,2,1,0,0,60,2,2,1,0.0,0.0,0.0,1,0,39,49,79.6,5,19,1,2,1,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,33-339,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,32,38,84.2,0,15,0,0,0,Tottenham Hotspur
14 Players,,,,,990,0,0,0,0,5,1,2,0,546,5,9,10,0.2,0.2,0.1,10,0,375,472,79.4,21,280,10,14,9,Tottenham Hotspur
