Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diego Costa,19.0,es ESP,FW,28-183,90,0,0,0,0,4,1,0,0,1,4,0,0,0,1,0,0,0,Chelsea
Eden Hazard,10.0,be BEL,AM,26-091,83,1,0,0,0,2,1,0,0,1,1,0,4,1,1,0,0,0,Chelsea
Cesc Fàbregas,4.0,es ESP,"FW,MF",29-339,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Pedro,11.0,es ESP,AM,29-254,87,0,0,0,0,2,1,1,0,1,0,1,0,0,1,0,0,0,Chelsea
Willian,22.0,br BRA,"FW,MF",28-242,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Nemanja Matić,21.0,rs SRB,DM,28-250,90,0,0,0,0,1,0,0,0,1,0,0,0,3,3,0,0,0,Chelsea
N'Golo Kanté,7.0,fr FRA,DM,26-010,90,0,1,0,0,0,0,1,0,3,0,0,0,2,2,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,DM,26-101,90,1,0,0,0,3,1,0,0,1,1,0,4,3,1,0,0,0,Chelsea
Victor Moses,15.0,ng NGA,DM,26-117,89,0,0,0,0,3,1,1,0,1,0,0,3,1,0,0,0,0,Chelsea
Kurt Zouma,5.0,fr FRA,DF,22-163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Gary Cahill,24.0,eng ENG,CB,31-110,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Chelsea
David Luiz,30.0,br BRA,CB,29-351,90,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,CB,27-223,90,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,Chelsea
Thibaut Courtois,13.0,be BEL,GK,24-332,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea
14 Players,,,,,990,2,1,0,0,15,5,3,0,11,7,1,11,14,15,0,0,0,Chelsea
