Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Olivier Giroud,18.0,fr FRA,FW,34-066,78,1,0,0,0,6,1,0,0,41,1,2,0,1.3,1.3,1.0,4,0,22,28,78.6,1,23,0,0,0,Chelsea
Tammy Abraham,9.0,eng ENG,FW,23-064,12,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,5,5,100.0,1,6,0,1,0,Chelsea
Timo Werner,11.0,de GER,"RW,LW",24-274,90,0,1,0,0,5,4,0,0,42,4,0,0,1.4,1.4,0.8,8,1,22,28,78.6,4,29,6,3,0,Chelsea
Hakim Ziyech,22.0,ma MAR,RW,27-261,29,0,0,0,0,1,1,0,0,18,2,1,0,0.0,0.0,0.0,2,1,8,12,66.7,4,10,1,1,1,Chelsea
Christian Pulisic,10.0,us USA,LW,22-078,61,1,0,0,0,4,1,0,0,36,1,0,0,0.8,0.8,0.0,4,0,19,24,79.2,4,27,2,7,5,Chelsea
Mason Mount,19.0,eng ENG,LM,21-330,90,0,1,0,0,2,1,0,0,60,3,2,1,0.2,0.2,0.7,10,2,33,47,70.2,7,32,4,4,2,Chelsea
N'Golo Kanté,7.0,fr FRA,CM,29-251,90,0,0,0,0,0,0,0,0,53,4,1,1,0.0,0.0,0.0,1,0,36,43,83.7,3,23,1,2,1,Chelsea
Kai Havertz,29.0,de GER,RM,21-177,66,0,0,0,0,1,0,0,0,43,0,1,0,0.4,0.4,0.0,2,0,29,35,82.9,3,28,2,1,1,Chelsea
Mateo Kovačić,17.0,hr CRO,RM,26-213,24,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,3,1,4,5,80.0,2,6,1,1,1,Chelsea
Ben Chilwell,21.0,eng ENG,LB,23-350,90,0,0,0,0,1,1,0,0,68,3,2,2,0.0,0.0,0.1,2,0,34,53,64.2,4,31,1,1,0,Chelsea
Thiago Silva,6.0,br BRA,CB,36-074,90,0,0,0,0,0,0,0,0,64,0,1,2,0.0,0.0,0.0,1,0,51,55,92.7,10,39,2,1,1,Chelsea
Kurt Zouma,15.0,fr FRA,CB,26-039,90,1,0,0,0,1,1,0,0,53,0,1,0,0.1,0.1,0.0,0,0,37,41,90.2,4,31,1,0,0,Chelsea
Reece James,24.0,eng ENG,RB,20-363,90,0,1,0,0,1,0,0,0,58,2,2,0,0.0,0.0,0.8,2,1,32,46,69.6,0,25,1,1,0,Chelsea
Edouard Mendy,16.0,sn SEN,GK,28-279,90,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,0,0,18,29,62.1,0,19,0,0,0,Chelsea
14 Players,,,,,990,3,3,0,0,23,10,0,0,581,20,14,6,4.3,4.3,3.3,39,6,350,451,77.6,47,329,22,23,12,Chelsea
