Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Gonzalo Higuaín,9.0,ar ARG,FW,31-054,90,2,0,0,0,6,2,0,0,59,1,0,1,0.7,0.7,0.1,3,0,31,44,70.5,3,32,1,5,2,Chelsea
Eden Hazard,10.0,be BEL,LW,28-026,76,2,0,1,1,3,2,0,0,72,0,0,0,1.3,0.5,0.1,7,2,47,65,72.3,8,53,13,12,12,Chelsea
Callum Hudson-Odoi,20.0,eng ENG,LW,18-087,14,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,1,0,8,10,80.0,1,11,3,0,0,Chelsea
Willian,22.0,br BRA,RW,30-177,90,0,1,0,0,1,0,0,0,69,2,1,1,0.0,0.0,0.3,7,1,46,61,75.4,3,42,11,1,1,Chelsea
Ross Barkley,8.0,eng ENG,LM,25-059,90,0,1,0,0,4,0,0,0,85,4,3,0,0.2,0.2,0.4,8,2,71,75,94.7,10,54,3,1,1,Chelsea
Jorginho,5.0,it ITA,CM,27-044,69,0,0,0,0,1,0,0,0,93,2,2,3,0.1,0.1,0.1,2,0,78,83,94.0,8,50,0,1,1,Chelsea
Mateo Kovačić,17.0,hr CRO,CM,24-272,21,0,0,0,0,1,0,0,0,39,1,0,0,0.0,0.0,0.0,0,0,32,37,86.5,1,22,0,2,2,Chelsea
N'Golo Kanté,7.0,fr FRA,RM,27-310,82,0,2,0,0,0,0,0,0,90,3,1,2,0.0,0.0,0.5,5,2,71,78,91.0,5,46,4,2,1,Chelsea
Ruben Loftus-Cheek,12.0,eng ENG,RM,23-010,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,1,3,5,60.0,1,2,0,0,0,Chelsea
Marcos Alonso,3.0,es ESP,LB,28-036,90,0,0,0,0,1,0,0,0,83,7,1,0,0.0,0.0,0.2,2,0,62,74,83.8,1,46,3,0,0,Chelsea
David Luiz,30.0,br BRA,CB,31-286,90,1,0,0,0,3,1,0,0,82,4,0,1,0.2,0.2,0.1,2,0,65,70,92.9,12,55,0,0,0,Chelsea
Andreas Christensen,27.0,dk DEN,CB,22-298,90,0,0,0,0,0,0,0,0,78,1,0,2,0.0,0.0,0.0,0,0,68,71,95.8,7,50,0,0,0,Chelsea
César Azpilicueta,28.0,es ESP,RB,29-158,90,0,0,0,0,1,1,0,0,89,2,1,2,0.0,0.0,0.0,6,2,71,81,87.7,6,43,1,1,1,Chelsea
Kepa Arrizabalaga,1.0,es ESP,GK,24-122,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,26,26,100.0,0,16,0,1,1,Chelsea
14 Players,,,,,990,5,4,1,1,22,6,0,0,883,27,9,12,2.6,1.8,1.7,44,10,679,780,87.1,66,522,39,26,22,Chelsea
