Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Richarlison,7.0,br BRA,FW,24-292,90,0,0,0,0,2,2,0,0,27,1,0,1,0.2,0.2,0.0,1,0,7,14,50.0,0,23,2,3,3,Everton
Anthony Gordon,24.0,eng ENG,LW,21-002,76,0,0,0,0,3,0,0,0,27,2,1,1,0.1,0.1,0.0,0,0,10,16,62.5,2,15,4,0,0,Everton
Demarai Gray,11.0,jm JAM,LW,25-243,14,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,7,57.1,0,6,1,0,0,Everton
Alex Iwobi,17.0,ng NGA,RW,25-299,87,0,0,0,0,0,0,0,0,33,3,1,0,0.0,0.0,0.2,3,0,14,21,66.7,3,22,1,3,2,Everton
Anwar El Ghazi,34.0,nl NED,RM,26-299,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,Everton
Donny van de Beek,30.0,nl NED,LM,24-314,70,0,0,0,0,0,0,1,0,41,3,1,1,0.0,0.0,0.0,1,0,18,28,64.3,1,22,0,2,0,Everton
Dele Alli,36.0,eng ENG,RW,25-321,20,0,0,0,0,0,0,1,0,13,2,0,0,0.0,0.0,0.0,1,0,8,9,88.9,1,7,0,0,0,Everton
Allan,6.0,br BRA,CM,31-049,90,0,0,0,0,0,0,1,0,42,4,1,1,0.0,0.0,0.1,2,0,32,36,88.9,6,25,1,2,2,Everton
Abdoulaye Doucouré,16.0,ml MLI,RM,29-056,90,0,0,0,0,0,0,0,0,50,2,0,4,0.0,0.0,0.1,2,0,29,37,78.4,5,34,1,2,1,Everton
Jonjoe Kenny,2.0,eng ENG,LB,24-348,90,0,0,0,0,1,0,0,0,41,1,0,0,0.1,0.1,0.0,0,0,25,33,75.8,1,21,0,0,0,Everton
Michael Keane,5.0,eng ENG,CB,29-046,90,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.0,0,0,29,37,78.4,1,25,0,0,0,Everton
Mason Holgate,4.0,jm JAM,CB,25-127,90,0,0,0,0,0,0,0,0,56,1,1,0,0.0,0.0,0.0,0,0,35,47,74.5,1,34,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RB,33-138,90,0,0,0,0,0,0,0,0,42,3,1,0,0.0,0.0,0.0,0,0,25,32,78.1,1,17,0,1,1,Everton
Jordan Pickford,1.0,eng ENG,GK,27-356,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,25,37,67.6,0,19,0,0,0,Everton
14 Players,,,,,990,0,0,0,0,6,2,3,0,471,22,7,10,0.5,0.5,0.4,11,0,263,357,73.7,22,273,11,13,9,Everton
