Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Romelu Lukaku,10.0,be BEL,FW,22-235,90,0,1,0,0,2,0,0,0,1,2,0,1,1,0,0,,,Everton
Arouna Koné,9.0,ci CIV,FW,32-053,59,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,,,Everton
Muhamed Bešić,21.0,ba BIH,"DF,MF",23-115,31,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,,,Everton
Aaron Lennon,12.0,eng ENG,FW,28-262,59,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,,,Everton
Gerard Deulofeu,19.0,es ESP,"FW,MF",21-296,31,0,0,0,0,1,0,0,0,0,1,0,4,1,3,0,,,Everton
Tom Cleverley,15.0,eng ENG,CM,26-144,90,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,,,Everton
Gareth Barry,18.0,eng ENG,CM,34-314,90,0,0,0,0,0,0,0,0,3,0,0,1,2,2,0,,,Everton
Ross Barkley,20.0,eng ENG,CM,22-029,90,0,0,0,0,2,1,0,0,2,2,1,1,0,1,0,,,Everton
Leighton Baines,3.0,eng ENG,LB,31-023,90,0,0,0,0,0,0,0,0,1,1,0,4,2,4,0,,,Everton
Ramiro Funes Mori,25.0,ar ARG,CB,24-304,90,0,0,0,0,1,0,0,0,0,0,0,0,4,5,0,,,Everton
John Stones,5.0,eng ENG,CB,21-220,90,0,0,0,0,1,0,0,0,0,2,0,0,2,3,0,,,Everton
Séamus Coleman,23.0,ie IRL,RB,27-084,90,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,,,Everton
Tim Howard,24.0,us USA,GK,36-303,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Everton
13 Players,,,,,990,1,1,0,0,12,3,1,0,8,11,3,15,17,23,0,,,Everton
