Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Aleksandar Mitrović,9.0,rs SRB,FW,24-126,90,0,0,0,0,2,0,1,0,46,0,0,1,0.1,0.1,0.3,2,0,17,26,65.4,2,21,0,4,1,Fulham
Ryan Babel,12.0,nl NED,LW,32-032,54,0,0,0,0,3,1,0,0,21,1,1,0,0.5,0.5,0.1,3,0,9,11,81.8,3,15,3,1,0,Fulham
Ryan Sessegnon,3.0,eng ENG,LW,18-247,36,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,7,1,2,0,Fulham
André Schürrle,14.0,de GER,RW,28-075,71,0,0,0,0,1,1,0,0,27,1,1,0,0.1,0.1,0.0,1,0,6,15,40.0,1,9,0,2,2,Fulham
Neeskens Kebano,7.0,cd COD,RW,26-316,19,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Fulham
Joe Bryan,23.0,eng ENG,LM,25-125,90,0,0,0,0,2,1,0,0,55,2,1,1,0.1,0.1,0.0,4,0,26,39,66.7,4,15,1,1,1,Fulham
Jean Seri,24.0,ci CIV,CM,27-185,80,0,0,0,0,0,0,1,0,40,0,3,2,0.0,0.0,0.0,1,0,19,33,57.6,0,8,0,0,0,Fulham
Ibrahima Cissé,44.0,gn GUI,CM,24-326,10,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Fulham
Calum Chambers,5.0,eng ENG,CM,24-000,90,0,0,0,0,2,1,0,0,43,5,3,1,0.1,0.1,0.1,2,0,16,25,64.0,5,11,1,3,2,Fulham
Cyrus Christie,22.0,ie IRL,RM,26-112,90,0,0,0,0,0,0,0,0,48,3,1,1,0.0,0.0,0.1,1,0,20,32,62.5,1,19,3,3,2,Fulham
