Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Aleksandar Mitrović,9.0,rs SRB,FW,24-090,90,0,0,0,0,4,1,0,0,55,1,0,0,0.4,0.4,0.4,4,0,27,41,65.9,3,24,2,1,1,Fulham
Aboubakar Kamara,47.0,mr MTN,"FW,LW,RW",23-283,90,0,0,0,0,3,3,0,0,50,3,0,0,0.7,0.7,0.1,3,0,22,33,66.7,0,29,3,4,3,Fulham
André Schürrle,14.0,de GER,"LM,AM",28-039,76,0,0,0,0,3,0,0,0,38,0,0,1,0.1,0.1,0.0,2,0,24,32,75.0,4,18,3,1,1,Fulham
Neeskens Kebano,7.0,cd COD,LW,26-280,14,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,6,2,1,1,Fulham
Jean Seri,24.0,ci CIV,"CM,DM",27-149,60,0,0,0,0,1,0,1,0,67,2,0,0,0.0,0.0,0.2,6,0,52,62,83.9,7,28,1,1,1,Fulham
Stefan Johansen,8.0,no NOR,DM,27-341,30,0,0,0,0,0,0,1,0,25,0,0,0,0.0,0.0,0.0,0,0,18,24,75.0,5,12,0,0,0,Fulham
Calum Chambers,5.0,eng ENG,"DM,CM",23-329,90,0,0,0,0,2,0,0,0,63,1,1,0,0.1,0.1,0.0,1,0,40,53,75.5,6,30,1,1,0,Fulham
Tom Cairney,10.0,sct SCO,"RM,RW,AM",27-329,90,0,0,0,0,3,0,0,0,82,1,1,1,0.1,0.1,0.0,4,0,64,72,88.9,10,64,3,5,4,Fulham
Joe Bryan,23.0,eng ENG,LB,25-089,90,0,0,0,0,0,0,0,0,53,3,1,0,0.0,0.0,0.2,1,0,30,46,65.2,7,17,1,1,0,Fulham
Tim Ream,13.0,us USA,CB,31-071,45,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,15,16,93.8,2,5,0,0,0,Fulham
Cyrus Christie,22.0,ie IRL,RB,26-076,45,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,0,0,23,29,79.3,3,22,2,5,3,Fulham
Alfie Mawson,26.0,eng ENG,CB,24-330,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,0.0,1,0,36,42,85.7,2,23,0,0,0,Fulham
Denis Odoi,4.0,gh GHA,"CB,RB",30-202,90,0,0,0,0,0,0,0,0,87,0,0,1,0.0,0.0,0.2,3,0,57,76,75.0,7,41,5,3,2,Fulham
Sergio Rico,25.0,es ESP,GK,25-105,90,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,0,0,15,24,62.5,0,8,0,0,0,Fulham
14 Players,,,,,990,0,0,0,0,16,4,2,0,661,16,5,5,1.3,1.3,1.1,25,0,427,557,76.7,56,327,23,23,16,Fulham
Javier Hernández,17.0,mx MEX,FW,30-197,72,0,1,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.5,1,1,16,21,76.2,3,18,0,2,1,West Ham United
Andy Carroll,9.0,eng ENG,FW,29-343,18,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,West Ham United
Michail Antonio,30.0,jm JAM,FW,28-262,84,1,0,0,0,1,1,0,0,26,1,1,0,0.5,0.5,0.0,0,0,10,20,50.0,1,21,4,2,1,West Ham United
Grady Diangana,45.0,cd COD,FW,20-240,6,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,3,1,0,0,West Ham United
Felipe Anderson,8.0,br BRA,LM,25-244,90,0,1,0,0,2,1,0,0,69,2,2,7,0.1,0.1,0.1,4,3,35,47,74.5,3,39,8,4,2,West Ham United
Declan Rice,41.0,eng ENG,CM,19-335,90,0,0,0,0,0,0,0,0,50,3,2,1,0.0,0.0,0.0,0,0,31,41,75.6,2,24,0,0,0,West Ham United
Mark Noble,16.0,eng ENG,CM,31-221,61,0,0,0,0,0,0,1,0,33,1,0,0,0.0,0.0,0.0,0,0,19,27,70.4,3,17,0,0,0,West Ham United
Pedro Obiang,14.0,gq EQG,CM,26-263,29,0,0,0,0,0,0,0,0,23,2,0,0,0.0,0.0,0.0,0,0,14,18,77.8,4,17,0,0,0,West Ham United
Robert Snodgrass,11.0,sct SCO,RM,31-099,90,1,0,0,0,1,1,0,0,57,3,0,2,0.1,0.1,0.1,2,0,33,45,73.3,7,38,4,3,3,West Ham United
Arthur Masuaku,26.0,cd COD,LB,25-038,90,0,0,0,0,0,0,0,0,65,4,6,0,0.0,0.0,0.0,1,0,39,51,76.5,2,37,3,0,0,West Ham United
Issa Diop,23.0,fr FRA,CB,21-340,90,0,0,0,0,0,0,0,0,42,1,1,0,0.0,0.0,0.0,0,0,28,34,82.4,3,25,0,0,0,West Ham United
Fabián Balbuena,4.0,py PAR,CB,27-114,90,0,0,0,0,1,0,0,0,45,1,2,2,0.1,0.1,0.0,0,0,18,25,72.0,1,16,0,0,0,West Ham United
Pablo Zabaleta,5.0,ar ARG,RB,33-333,90,0,0,0,0,0,0,0,0,64,3,4,0,0.0,0.0,0.1,2,0,41,55,74.5,3,30,0,1,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,33-241,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,24,46,52.2,0,20,0,0,0,West Ham United
14 Players,,,,,990,2,2,0,0,6,3,1,0,557,22,18,12,0.8,0.8,0.8,11,4,315,437,72.1,33,309,20,12,7,West Ham United
