Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Salomón Rondón,9.0,ve VEN,FW,29-208,90,0,0,0,0,2,0,0,0,39,0,0,0,0.1,0.1,0.1,5,0,22,32,68.8,2,20,2,3,2,Leicester City
Miguel Almirón,24.0,py PAR,LM,25-061,77,0,0,0,0,4,2,0,0,43,1,0,3,0.2,0.2,0.0,1,0,17,26,65.4,3,19,3,2,0,Leicester City
Christian Atsu,30.0,gh GHA,LM,27-092,13,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,3,1,0,0,Leicester City
Ki Sung-yueng,4.0,kr KOR,CM,30-078,81,0,0,0,0,0,0,1,0,38,3,2,1,0.0,0.0,0.0,2,0,21,29,72.4,1,14,0,1,1,Leicester City
Mohamed Diamé,10.0,sn SEN,CM,31-302,9,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,0,2,0,0,0,Leicester City
Isaac Hayden,14.0,jm JAM,CM,24-021,90,0,0,0,0,1,0,0,0,42,6,2,1,0.0,0.0,0.0,1,0,22,30,73.3,0,9,0,0,0,Leicester City
Ayoze Pérez,17.0,es ESP,RM,25-257,90,1,0,0,0,3,2,0,0,45,3,4,4,0.8,0.8,0.1,2,0,14,21,66.7,3,22,6,4,1,Leicester City
Matt Ritchie,11.0,sct SCO,LB,29-214,90,0,1,0,0,0,0,0,0,60,2,3,1,0.0,0.0,0.1,3,2,28,52,53.8,3,24,1,1,1,Leicester City
Paul Dummett,3.0,wls WAL,CB,27-198,90,0,0,0,0,0,0,0,0,39,1,2,1,0.0,0.0,0.0,2,0,17,30,56.7,1,11,2,0,0,Leicester City
Jamaal Lascelles,6.0,eng ENG,CB,25-152,90,0,0,0,0,1,1,0,0,34,0,1,1,0.0,0.0,0.0,0,0,16,21,76.2,1,9,0,0,0,Leicester City
Fabian Schär,5.0,ch SUI,CB,27-113,90,0,0,0,0,0,0,1,0,55,4,6,1,0.0,0.0,0.1,2,0,17,35,48.6,2,17,1,3,3,Leicester City
Javier Manquillo,19.0,es ESP,RB,24-342,90,0,0,0,0,0,0,1,0,46,1,2,1,0.0,0.0,0.0,1,0,19,30,63.3,1,18,0,0,0,Leicester City
Martin Dúbravka,12.0,sk SVK,GK,30-087,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,11,23,47.8,0,12,0,0,0,Leicester City
13 Players,,,,,990,1,1,0,0,11,5,3,0,478,21,22,15,1.1,1.1,0.4,19,2,210,338,62.1,17,180,16,14,8,Leicester City
