Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Daniel Sturridge,15.0,eng ENG,FW,28-057,73,1,0,0,0,2,1,0,0,26,0,0,1,0.5,0.5,0.0,1,0,12,20,60.0,0,12,0,0,0,Liverpool
Emre Can,23.0,de GER,"LM,FW",23-289,17,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,1,1,15,18,83.3,2,14,2,0,0,Liverpool
Roberto Firmino,9.0,br BRA,LW,26-026,65,1,0,0,0,1,1,0,0,39,1,0,1,0.2,0.2,0.1,3,0,22,34,64.7,5,27,1,3,3,Liverpool
Alex Oxlade-Chamberlain,21.0,eng ENG,"LW,RW",24-074,25,0,0,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,1,0,15,18,83.3,2,12,5,2,2,Liverpool
Mohamed Salah,11.0,eg EGY,RW,25-135,80,0,1,0,1,2,2,0,0,45,0,0,0,0.9,0.1,0.1,3,1,26,37,70.3,2,30,3,3,2,Liverpool
Dominic Solanke,29.0,eng ENG,FW,20-044,10,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,2,6,1,0,0,Liverpool
Georginio Wijnaldum,5.0,nl NED,"LM,LW",26-351,90,1,0,0,0,2,1,0,0,56,0,0,2,0.1,0.1,0.0,2,0,41,48,85.4,7,27,1,0,0,Liverpool
Jordan Henderson,14.0,eng ENG,CM,27-133,90,0,0,0,0,2,0,0,0,132,2,2,0,0.1,0.1,0.0,4,0,104,126,82.5,20,67,1,0,0,Liverpool
James Milner,7.0,eng ENG,RM,31-297,90,0,1,0,0,2,1,0,0,104,4,1,2,0.1,0.1,0.4,6,1,73,90,81.1,10,46,3,1,0,Liverpool
