Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Phil Foden,47.0,eng ENG,FW,21-200,90,1,1,0,0,6,1,0,0,72,0,1,0,0.4,0.4,0.3,9,2,54,63,85.7,8,61,4,4,3,Manchester City
Jack Grealish,10.0,eng ENG,LW,26-095,90,1,0,0,0,3,2,0,0,58,0,1,0,0.3,0.3,0.0,8,2,41,43,95.3,2,41,6,6,4,Manchester City
Riyad Mahrez,26.0,dz ALG,RW,30-296,90,1,1,0,0,5,3,0,0,60,0,2,3,0.4,0.4,0.9,5,1,36,46,78.3,4,48,6,8,5,Manchester City
Kevin De Bruyne,17.0,be BEL,AM,30-169,90,2,0,0,0,9,4,0,0,73,2,1,0,0.7,0.7,0.5,9,0,46,60,76.7,9,49,2,2,2,Manchester City
Bernardo Silva,20.0,pt POR,DM,27-126,45,0,0,0,0,1,0,0,0,39,2,0,0,0.3,0.3,0.0,4,1,33,35,94.3,2,30,0,2,1,Manchester City
İlkay Gündoğan,8.0,de GER,DM,31-051,45,0,2,0,0,2,1,0,0,36,0,0,0,0.5,0.5,0.1,3,2,29,32,90.6,2,28,1,1,0,Manchester City
Rodri,16.0,es ESP,DM,25-175,55,0,1,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.4,4,1,32,32,100.0,7,30,4,2,0,Manchester City
Fernandinho,25.0,br BRA,DM,36-224,35,0,0,0,0,0,0,0,0,21,0,1,2,0.0,0.0,0.1,3,0,13,17,76.5,3,13,1,0,0,Manchester City
Oleksandr Zinchenko,11.0,ua UKR,LB,24-364,90,0,0,0,0,0,0,0,0,64,4,1,3,0.0,0.0,0.0,2,0,38,47,80.9,3,32,3,3,2,Manchester City
Aymeric Laporte,14.0,es ESP,CB,27-201,90,0,0,0,0,2,1,0,0,107,2,0,2,0.1,0.1,0.0,2,0,93,98,94.9,7,82,4,1,0,Manchester City
Rúben Dias,3.0,pt POR,CB,24-214,64,0,0,0,0,0,0,1,0,67,0,0,1,0.0,0.0,0.0,0,0,62,64,96.9,7,51,2,0,0,Manchester City
Nathan Aké,6.0,nl NED,CB,26-299,26,1,0,0,0,1,1,0,0,39,0,0,1,0.1,0.1,0.0,0,0,34,34,100.0,3,34,1,1,0,Manchester City
John Stones,5.0,eng ENG,RB,27-200,90,1,0,0,0,2,2,0,0,36,1,2,0,0.3,0.3,0.0,2,1,24,27,88.9,2,16,1,1,0,Manchester City
Ederson,31.0,br BRA,GK,28-119,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,42,42,100.0,0,34,0,0,0,Manchester City
