Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Sergio Agüero,10.0,ar ARG,FW,28-279,90,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,Manchester City
Leroy Sané,19.0,de GER,LW,21-056,90,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,AM,25-253,90,0,0,0,0,0,0,0,0,1,2,0,10,1,1,0,0,0,Manchester City
Yaya Touré,42.0,ci CIV,AM,33-299,75,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,Manchester City
Kelechi Iheanacho,72.0,ng NGA,"FW,MF",20-156,15,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Manchester City
Jesús Navas,15.0,es ESP,RW,31-107,56,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,Manchester City
David Silva,21.0,es ESP,"FW,MF",31-059,34,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,Manchester City
Fernandinho,25.0,br BRA,DM,31-308,90,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,Manchester City
Gaël Clichy,22.0,fr FRA,LB,31-225,90,0,0,0,0,0,0,0,0,0,2,0,2,5,2,0,0,0,Manchester City
Aleksandar Kolarov,11.0,rs SRB,CB,31-118,90,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,29-024,90,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,Manchester City
Bacary Sagna,3.0,fr FRA,RB,34-022,90,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,Manchester City
Willy Caballero,13.0,ar ARG,GK,35-161,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
13 Players,,,,,990,0,0,0,0,12,1,1,0,8,11,1,20,18,13,0,0,0,Manchester City
Saido Berahino,9.0,bi BDI,FW,23-216,78,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Stoke City
Glenn Whelan,6.0,ie IRL,MF,33-054,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
Jonathan Walters,19.0,ie IRL,FW,33-169,90,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,Stoke City
Ramadan Sobhi,32.0,eg EGY,LM,20-044,90,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,Stoke City
Joe Allen,4.0,wls WAL,CM,26-359,84,0,0,0,0,0,0,0,0,0,2,0,2,3,4,0,0,0,Stoke City
Giannelli Imbula,21.0,cd COD,MF,24-177,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
Geoff Cameron,20.0,us USA,CM,31-240,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,Stoke City
Mame Biram Diouf,18.0,sn SEN,RM,29-082,68,0,0,0,0,2,1,0,0,2,1,1,0,2,3,0,0,0,Stoke City
Ibrahim Afellay,14.0,nl NED,"FW,MF",30-340,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
Erik Pieters,3.0,nl NED,LB,28-213,90,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,Stoke City
Bruno Martins Indi,15.0,nl NED,CB,25-028,90,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,0,Stoke City
Ryan Shawcross,17.0,eng ENG,CB,29-155,90,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,Stoke City
Phil Bardsley,2.0,sct SCO,RB,31-253,90,0,0,0,0,0,0,1,0,2,1,0,3,2,5,0,0,0,Stoke City
Lee Grant,33.0,eng ENG,GK,34-040,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
14 Players,,,,,990,0,0,0,0,5,2,3,0,12,6,1,8,12,22,0,0,0,Stoke City
