Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Sergio Agüero,10.0,ar ARG,FW,28-348,90,0,1,0,0,3,1,0,0,0,2,0,1,1,0,0,0,0,Manchester City
Leroy Sané,19.0,de GER,LW,21-125,90,0,0,0,0,2,0,1,0,1,2,1,4,4,1,0,0,0,Manchester City
David Silva,21.0,es ESP,AM,31-128,61,0,0,0,0,1,0,0,0,1,2,0,2,2,0,0,0,0,Manchester City
Pablo Zabaleta,5.0,ar ARG,"DF,MF",32-120,29,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,AM,25-322,90,1,1,0,0,2,2,0,0,1,0,0,7,1,0,0,0,0,Manchester City
Gabriel Jesus,33.0,br BRA,RW,20-043,90,1,1,0,0,5,4,0,0,1,3,1,1,0,1,0,0,0,Manchester City
Yaya Touré,42.0,ci CIV,DM,34-003,80,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Manchester City
Fernando,6.0,br BRA,"DF,MF",29-295,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,Manchester City
Aleksandar Kolarov,11.0,rs SRB,LB,31-187,90,0,0,0,0,2,1,0,0,0,1,0,2,2,1,0,0,0,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,29-093,90,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,Manchester City
Vincent Kompany,4.0,be BEL,CB,31-036,76,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,Manchester City
John Stones,24.0,eng ENG,DF,22-353,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
Fernandinho,25.0,br BRA,RB,32-012,90,0,0,0,0,3,0,0,0,2,0,0,2,2,1,0,0,0,Manchester City
Willy Caballero,13.0,ar ARG,GK,35-230,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester City
14 Players,,,,,990,3,3,0,0,21,10,1,0,8,11,2,19,17,15,0,0,0,Manchester City
Salomón Rondón,9.0,ve VEN,FW,27-242,70,0,0,0,0,3,1,0,0,0,2,1,0,0,3,0,0,0,West Bromwich Albion
Hal Robson-Kanu,4.0,wls WAL,"FW,MF",27-360,20,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,West Bromwich Albion
Chris Brunt,11.0,nir NIR,LW,32-153,90,0,0,0,0,1,0,0,0,0,3,0,1,0,4,0,0,0,West Bromwich Albion
Jake Livermore,8.0,eng ENG,AM,27-183,64,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,West Bromwich Albion
James Morrison,7.0,sct SCO,"FW,MF",30-356,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,AM,33-104,90,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,West Bromwich Albion
Nacer Chadli,22.0,be BEL,RW,27-287,90,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,DM,29-302,90,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,West Bromwich Albion
Marc Wilson,12.0,ie IRL,LB,29-272,51,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,West Bromwich Albion
James McClean,14.0,ie IRL,"DF,FW",28-024,39,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,West Bromwich Albion
Jonny Evans,6.0,nir NIR,CB,29-133,90,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,West Bromwich Albion
Craig Dawson,25.0,eng ENG,CB,27-010,90,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,West Bromwich Albion
Allan Nyom,2.0,cm CMR,RB,29-006,90,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,34-043,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Bromwich Albion
14 Players,,,,,990,1,1,0,0,5,2,2,0,11,7,1,10,8,28,0,0,0,West Bromwich Albion
