Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Sergio Agüero,10.0,ar ARG,FW,29-246,90,0,0,0,0,3,1,0,0,36,1,0,0,0.3,0.3,0.2,4,0,22,29,75.9,3,21,4,2,1,Manchester City
Raheem Sterling,7.0,eng ENG,LW,23-057,73,0,0,0,0,5,2,0,0,40,0,1,2,1.0,1.0,0.2,4,0,22,30,73.3,5,24,6,1,1,Manchester City
Brahim Díaz,55.0,ma MAR,LW,18-184,17,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,9,9,100.0,0,11,1,0,0,Manchester City
Bernardo Silva,20.0,pt POR,RW,23-177,90,0,1,0,0,1,0,0,0,66,0,0,1,0.0,0.0,0.0,6,1,46,58,79.3,4,51,10,2,0,Manchester City
İlkay Gündoğan,8.0,de GER,LM,27-102,90,0,0,0,0,2,0,1,0,79,3,2,1,0.1,0.1,0.0,2,0,57,65,87.7,10,40,6,2,2,Manchester City
Fernandinho,25.0,br BRA,CM,32-275,90,0,0,0,0,0,0,0,0,71,0,2,1,0.0,0.0,0.0,0,0,57,60,95.0,8,39,2,1,1,Manchester City
Kevin De Bruyne,17.0,be BEL,RM,26-220,90,0,0,0,0,3,1,0,0,96,0,0,1,0.1,0.1,0.1,9,1,72,90,80.0,12,60,2,0,0,Manchester City
Danilo,3.0,br BRA,LB,26-203,90,1,0,0,0,4,2,0,0,88,4,3,1,0.1,0.1,0.0,3,0,59,70,84.3,4,43,3,2,1,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,29-356,90,0,0,0,0,0,0,0,0,96,2,1,2,0.0,0.0,0.0,1,0,77,83,92.8,1,64,0,0,0,Manchester City
Vincent Kompany,4.0,be BEL,CB,31-299,90,0,0,0,0,2,1,0,0,110,2,2,0,0.3,0.3,0.0,2,0,86,96,89.6,7,62,1,0,0,Manchester City
Kyle Walker,2.0,eng ENG,RB,27-251,90,0,0,0,0,0,0,0,0,97,0,1,1,0.0,0.0,0.7,4,0,79,92,85.9,3,49,1,1,1,Manchester City
Ederson,31.0,br BRA,GK,24-170,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,39,51,76.5,0,28,0,0,0,Manchester City
12 Players,,,,,990,1,1,0,0,20,7,1,0,848,13,12,11,1.9,1.9,1.3,35,2,625,733,85.3,57,492,36,11,7,Manchester City
