Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Zlatan Ibrahimović,9.0,se SWE,FW,34-343,90,1,0,0,0,10,3,1,0,1,0,2,0,1,0,0,0,0,Manchester United
Jesse Lingard,14.0,eng ENG,AM,23-270,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Manchester United
Marcus Rashford,19.0,eng ENG,"FW,MF",18-315,45,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,Manchester United
Henrikh Mkhitaryan,22.0,am ARM,AM,27-233,45,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Manchester United
Ander Herrera,21.0,es ESP,MF,27-027,45,0,0,0,0,0,0,0,0,1,2,0,2,2,1,0,0,0,Manchester United
Wayne Rooney,10.0,eng ENG,AM,30-322,90,0,0,0,0,1,0,1,0,4,0,0,16,0,0,0,0,0,Manchester United
Paul Pogba,6.0,fr FRA,DM,23-179,90,0,0,0,0,1,0,0,0,1,4,0,0,2,2,0,0,0,Manchester United
Marouane Fellaini,27.0,be BEL,DM,28-293,90,0,0,0,0,0,0,1,0,2,1,0,0,2,7,0,0,0,Manchester United
Luke Shaw,23.0,eng ENG,LB,21-060,80,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,Manchester United
Anthony Martial,11.0,fr FRA,"FW,MF",20-280,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Manchester United
Daley Blind,17.0,nl NED,CB,26-185,90,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,Manchester United
Eric Bailly,3.0,ci CIV,CB,22-151,90,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,Manchester United
Antonio Valencia,25.0,ec ECU,RB,31-037,90,0,0,0,0,0,0,0,0,2,3,0,2,2,1,0,0,0,Manchester United
David de Gea,1.0,es ESP,GK,25-308,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manchester United
14 Players,,,,,990,1,0,0,0,14,3,4,0,15,10,3,25,16,24,0,0,0,Manchester United
Kelechi Iheanacho,72.0,ng NGA,FW,19-343,52,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,Manchester City
Fernando,6.0,br BRA,"DF,MF",29-047,38,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,Manchester City
Nolito,9.0,es ESP,FW,29-331,90,0,0,0,0,2,0,0,0,2,2,2,1,3,1,0,0,0,Manchester City
Raheem Sterling,7.0,eng ENG,FW,21-277,59,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Manchester City
Leroy Sané,19.0,de GER,"FW,MF",20-243,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Manchester City
David Silva,21.0,es ESP,CM,30-246,90,0,0,0,0,1,0,1,0,1,4,0,1,4,1,0,0,0,Manchester City
Fernandinho,25.0,br BRA,CM,31-129,90,0,0,0,0,3,2,1,0,3,2,0,0,2,2,0,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,CM,25-074,89,1,0,0,0,6,2,0,0,0,1,0,7,1,2,0,0,0,Manchester City
Pablo Zabaleta,5.0,ar ARG,"DF,MF",31-238,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Manchester City
Aleksandar Kolarov,11.0,rs SRB,LB,30-305,90,0,0,0,0,2,0,0,0,0,1,0,2,0,3,0,0,0,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,28-211,90,0,0,0,0,1,1,0,0,1,2,0,0,4,5,0,0,0,Manchester City
John Stones,24.0,eng ENG,CB,22-105,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,Manchester City
Bacary Sagna,3.0,fr FRA,RB,33-209,90,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,Manchester City
Claudio Bravo,1.0,cl CHI,GK,33-150,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Manchester City
14 Players,,,,,990,2,1,0,0,18,6,2,0,10,14,3,13,18,21,0,0,0,Manchester City
