Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Edinson Cavani,7.0,uy URU,FW,33-354,45,1,0,0,0,1,1,0,0,18,0,0,0,0.3,0.3,0.0,3,0,11,14,78.6,1,12,0,1,1,Manchester United
Anthony Martial,9.0,fr FRA,FW,25-059,45,2,0,0,0,5,2,0,0,17,0,0,0,1.4,1.4,0.0,2,1,9,11,81.8,0,9,1,1,0,Manchester United
Marcus Rashford,10.0,eng ENG,LW,23-094,59,1,0,0,0,2,2,0,0,64,2,0,0,0.4,0.4,0.0,3,1,45,54,83.3,4,37,3,2,0,Manchester United
Daniel James,21.0,wls WAL,RW,23-084,31,1,0,0,0,1,1,0,0,17,0,0,0,0.6,0.6,0.1,1,0,10,14,71.4,2,10,1,0,0,Manchester United
Mason Greenwood,11.0,eng ENG,RW,19-124,90,0,1,0,0,3,2,0,0,42,1,0,0,0.2,0.2,0.4,5,3,31,34,91.2,6,29,1,5,3,Manchester United
Bruno Fernandes,18.0,pt POR,AM,26-147,90,1,2,1,1,5,2,0,0,91,2,1,0,1.0,0.2,1.1,7,2,54,77,70.1,11,32,3,0,0,Manchester United
Fred,17.0,br BRA,DM,27-334,90,0,0,0,0,2,0,0,0,99,3,1,3,0.1,0.1,0.4,7,1,77,88,87.5,10,61,1,1,1,Manchester United
Scott McTominay,39.0,sct SCO,DM,24-056,90,1,0,0,0,2,1,0,0,90,2,1,1,0.1,0.1,0.1,2,0,70,81,86.4,12,61,2,1,1,Manchester United
Luke Shaw,23.0,eng ENG,LB,25-205,45,0,2,0,0,1,1,0,0,54,1,0,0,0.0,0.0,1.1,7,3,43,49,87.8,6,32,2,2,0,Manchester United
Donny van de Beek,34.0,nl NED,LB,23-290,45,0,0,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.0,0,0,15,16,93.8,3,10,0,0,0,Manchester United
Harry Maguire,5.0,eng ENG,CB,27-334,90,0,0,0,0,0,0,1,0,77,0,1,1,0.0,0.0,0.0,2,2,67,74,90.5,20,56,4,0,0,Manchester United
Victor Lindelöf,2.0,se SWE,CB,26-200,90,0,0,0,0,0,0,0,0,86,0,1,1,0.0,0.0,0.0,4,2,74,83,89.2,7,58,0,0,0,Manchester United
Aaron Wan-Bissaka,29.0,cd COD,RB,23-068,90,1,0,0,0,1,1,0,0,74,2,3,1,0.7,0.7,0.0,2,0,57,64,89.1,4,41,4,2,1,Manchester United
David de Gea,1.0,es ESP,GK,30-087,90,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,11,100.0,0,5,0,0,0,Manchester United
14 Players,,,,,990,8,5,1,1,23,13,2,0,758,13,8,7,4.7,3.9,3.1,45,15,574,670,85.7,86,453,22,15,7,Manchester United
