Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Allan Saint-Maximin,10.0,fr FRA,FW,24-279,78,0,0,0,0,1,1,0,0,19,1,1,0,0.1,0.1,0.0,2,1,9,13,69.2,3,14,5,3,3,Newcastle United
Callum Wilson,9.0,eng ENG,FW,29-292,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,0,0,,0,7,0,0,0,Newcastle United
Ryan Fraser,21.0,sct SCO,LW,27-295,86,0,0,0,0,0,0,1,0,24,1,3,0,0.0,0.0,0.0,2,1,8,17,47.1,0,13,1,1,0,Newcastle United
Joe Willock,28.0,eng ENG,LW,22-118,4,0,0,0,0,0,0,0,0,5,2,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Newcastle United
Jacob Murphy,23.0,eng ENG,RW,26-295,90,0,0,0,0,1,0,0,0,38,4,2,0,0.0,0.0,0.0,1,0,15,28,53.6,1,25,2,1,0,Newcastle United
Joelinton,7.0,br BRA,CM,25-124,90,0,0,0,0,0,0,1,0,42,5,1,1,0.0,0.0,0.0,0,0,17,27,63.0,1,19,0,3,2,Newcastle United
Jonjo Shelvey,8.0,eng ENG,CM,29-292,90,1,0,0,0,2,1,0,0,43,1,1,1,0.1,0.1,0.0,1,0,25,35,71.4,0,23,0,2,1,Newcastle United
Isaac Hayden,14.0,jm JAM,CM,26-269,90,0,0,0,0,0,0,1,0,32,4,3,1,0.0,0.0,0.0,0,0,10,16,62.5,0,9,0,0,0,Newcastle United
Jamal Lewis,12.0,nir NIR,LB,23-325,14,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Newcastle United
Matt Ritchie,11.0,sct SCO,LB,32-097,76,0,0,0,0,0,0,0,0,34,0,2,1,0.0,0.0,0.0,0,0,23,29,79.3,3,13,0,0,0,Newcastle United
Jamaal Lascelles,6.0,eng ENG,CB,28-035,90,0,0,0,0,0,0,0,0,38,1,3,2,0.0,0.0,0.0,0,0,18,24,75.0,2,10,0,0,0,Newcastle United
Fabian Schär,5.0,ch SUI,CB,29-361,90,0,0,0,0,1,1,0,0,37,0,3,1,0.0,0.0,0.0,0,0,13,24,54.2,0,11,0,0,0,Newcastle United
Javier Manquillo,19.0,es ESP,RB,27-225,90,0,0,0,0,0,0,0,0,30,4,2,1,0.0,0.0,0.0,0,0,12,17,70.6,1,7,0,0,0,Newcastle United
Martin Dúbravka,1.0,sk SVK,GK,32-335,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,13,41,31.7,0,19,0,0,0,Newcastle United
14 Players,,,,,990,1,0,0,0,5,3,3,0,398,24,22,8,0.3,0.3,0.0,7,2,167,276,60.5,11,173,8,10,6,Newcastle United
