Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Ayoze Pérez,17.0,es ESP,FW,22-189,90,0,0,0,0,1,1,0,0,3,2,0,0,2,0,0,,,Newcastle United
Andros Townsend,25.0,eng ENG,AM,24-202,90,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0,,,Newcastle United
Georginio Wijnaldum,5.0,nl NED,AM,25-084,90,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,,,Newcastle United
Jonjo Shelvey,12.0,eng ENG,DM,23-341,90,0,0,0,0,2,1,1,0,2,0,0,2,1,3,0,,,Newcastle United
Moussa Sissoko,7.0,fr FRA,AM,26-171,90,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,,,Newcastle United
Henri Saivet,23.0,sn SEN,DM,25-100,54,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,,,Newcastle United
Aleksandar Mitrović,45.0,rs SRB,FW,21-140,36,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Newcastle United
Paul Dummett,3.0,wls WAL,LB,24-130,45,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,,,Newcastle United
Rolando Aarons,16.0,eng ENG,MF,20-079,45,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0,,,Newcastle United
Fabricio Coloccini,2.0,ar ARG,CB,34-012,90,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,,,Newcastle United
Chancel Mbemba,18.0,cd COD,CB,21-179,43,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,,,Newcastle United
Jamaal Lascelles,6.0,eng ENG,DF,22-084,46,0,0,0,0,1,1,1,1,3,1,0,0,0,2,0,,,Newcastle United
Daryl Janmaat,22.0,nl NED,RB,26-196,90,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,,,Newcastle United
Rob Elliot,21.0,ie IRL,GK,29-279,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Newcastle United
14 Players,,,,,989,0,0,0,0,7,4,2,1,15,7,1,17,18,14,0,,,Newcastle United
