Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Aleksandar Mitrović,45.0,rs SRB,FW,21-122,89,0,0,0,0,7,5,0,0,3,1,1,0,2,0,0,,,Newcastle United
Jamaal Lascelles,6.0,eng ENG,DF,22-066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Newcastle United
Ayoze Pérez,17.0,es ESP,AM,22-171,79,1,0,0,0,2,2,0,0,0,0,0,1,1,3,0,,,Newcastle United
Yoan Gouffran,11.0,fr FRA,"FW,MF",29-236,11,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,,,Newcastle United
Moussa Sissoko,7.0,fr FRA,AM,26-153,90,0,0,0,0,3,0,0,0,3,0,0,3,2,0,0,,,Newcastle United
Georginio Wijnaldum,5.0,nl NED,AM,25-066,90,1,1,0,0,4,1,0,0,0,0,1,0,1,0,0,,,Newcastle United
Jack Colback,4.0,eng ENG,DM,26-084,90,0,0,0,0,1,0,0,0,2,1,0,2,2,4,0,,,Newcastle United
Jonjo Shelvey,12.0,eng ENG,DM,23-323,90,0,0,0,0,4,1,0,0,1,0,0,1,3,0,0,,,Newcastle United
Paul Dummett,3.0,wls WAL,LB,24-112,56,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,,,Newcastle United
Henri Saivet,23.0,sn SEN,"FW,MF",25-082,34,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,Newcastle United
Fabricio Coloccini,2.0,ar ARG,CB,33-359,90,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,,,Newcastle United
Chancel Mbemba,18.0,cd COD,CB,21-161,90,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,,,Newcastle United
Daryl Janmaat,22.0,nl NED,RB,26-178,90,0,1,0,0,0,0,0,0,0,0,0,7,1,3,0,,,Newcastle United
Rob Elliot,21.0,ie IRL,GK,29-261,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,Newcastle United
14 Players,,,,,990,2,2,0,0,23,10,1,0,9,4,2,14,23,22,0,,,Newcastle United
