Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Shane Long,7.0,ie IRL,FW,29-344,90,1,0,0,0,2,1,0,0,2,3,1,2,2,0,0,0,0,Southampton
Sofiane Boufal,19.0,ma MAR,FW,23-105,90,0,0,0,0,2,0,1,0,3,1,0,6,2,0,0,0,0,Southampton
Dušan Tadić,11.0,rs SRB,FW,28-041,73,0,1,0,0,2,0,0,0,1,1,0,11,1,1,0,0,0,Southampton
Josh Sims,39.0,eng ENG,"FW,MF",19-278,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Southampton
Steven Davis,8.0,nir NIR,CM,31-365,90,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,Southampton
Oriol Romeu,14.0,es ESP,CM,25-098,90,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,0,Southampton
Pierre Højbjerg,23.0,dk DEN,CM,21-148,51,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,Southampton
Jay Rodriguez,9.0,eng ENG,"FW,MF",27-155,39,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Southampton
Sam McQueen,38.0,eng ENG,LB,21-329,90,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,0,0,Southampton
Virgil van Dijk,17.0,nl NED,CB,25-176,88,0,0,0,0,0,0,2,1,3,2,0,0,2,4,0,0,0,Southampton
Maya Yoshida,3.0,jp JPN,CB,28-129,90,0,0,0,0,0,0,0,0,1,5,0,0,2,1,0,0,0,Southampton
Cuco Martina,15.0,cw CUW,RB,27-097,74,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,Southampton
James Ward-Prowse,16.0,eng ENG,MF,22-060,16,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,Southampton
Fraser Forster,1.0,eng ENG,GK,28-289,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southampton
14 Players,,,,,988,1,1,0,0,10,1,3,1,13,17,1,38,18,9,0,0,0,Southampton
Hal Robson-Kanu,4.0,wls WAL,FW,27-224,71,1,1,0,0,1,1,1,0,6,4,0,2,0,1,0,0,0,West Bromwich Albion
Salomón Rondón,9.0,ve VEN,FW,27-106,19,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,West Bromwich Albion
Chris Brunt,11.0,nir NIR,AM,32-017,90,0,0,0,0,1,0,0,0,0,0,0,5,2,2,0,0,0,West Bromwich Albion
Matt Phillips,10.0,sct SCO,AM,25-293,90,1,1,0,0,3,1,0,0,0,1,0,3,1,2,0,0,0,West Bromwich Albion
Nacer Chadli,22.0,be BEL,AM,27-151,52,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,West Bromwich Albion
James Morrison,7.0,sct SCO,"FW,MF",30-220,38,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,DM,32-334,90,0,0,0,0,1,0,0,0,0,2,0,0,2,2,0,0,0,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,DM,29-166,90,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,West Bromwich Albion
Allan Nyom,2.0,cm CMR,LB,28-235,45,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,West Bromwich Albion
James McClean,14.0,ie IRL,"DF,FW",27-253,45,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,West Bromwich Albion
Jonny Evans,6.0,nir NIR,CB,28-363,90,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,37-026,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,26-239,90,0,0,0,0,0,0,1,0,3,1,0,0,2,1,0,0,0,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,33-272,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Bromwich Albion
14 Players,,,,,990,2,2,0,0,7,3,3,0,17,12,1,11,19,18,0,0,0,West Bromwich Albion
