Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Charlie Austin,10.0,eng ENG,FW,28-158,85,1,0,0,0,2,2,0,0,35,0,0,1,0.7,0.7,0.0,1,0,19,27,70.4,3,24,2,1,0,Southampton
Manolo Gabbiadini,20.0,it ITA,FW,26-014,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Southampton
Nathan Redmond,22.0,eng ENG,LW,23-279,73,0,0,0,0,1,1,0,0,45,2,3,2,0.0,0.0,0.0,1,0,24,32,75.0,6,31,6,3,1,Southampton
Sofiane Boufal,19.0,ma MAR,LW,24-084,17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,8,1,1,1,Southampton
James Ward-Prowse,16.0,eng ENG,RW,23-039,90,0,0,0,0,0,0,0,0,40,2,0,2,0.0,0.0,0.0,0,0,22,32,68.8,1,21,0,1,1,Southampton
Dušan Tadić,11.0,rs SRB,AM,29-020,87,0,1,0,0,0,0,0,0,35,2,1,1,0.0,0.0,1.2,5,2,21,27,77.8,3,27,4,4,4,Southampton
Steven Davis,8.0,nir NIR,AM,32-343,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Southampton
Pierre Højbjerg,23.0,dk DEN,DM,22-127,90,0,0,0,0,1,0,0,0,78,2,3,3,0.0,0.0,0.0,0,0,54,58,93.1,6,52,0,2,1,Southampton
Oriol Romeu,14.0,es ESP,DM,26-077,90,0,0,0,0,1,0,1,0,66,1,2,1,0.0,0.0,0.0,0,0,47,55,85.5,4,44,0,2,2,Southampton
Ryan Bertrand,21.0,eng ENG,LB,28-127,90,0,0,0,0,1,0,0,0,60,0,3,2,0.5,0.5,0.0,3,0,34,48,70.8,2,31,2,2,1,Southampton
Virgil van Dijk,17.0,nl NED,CB,26-155,90,0,0,0,0,0,0,0,0,43,0,3,0,0.0,0.0,0.0,0,0,26,34,76.5,2,29,0,0,0,Southampton
Maya Yoshida,3.0,jp JPN,CB,29-108,90,0,0,0,0,0,0,0,0,34,3,3,0,0.0,0.0,0.0,0,0,22,24,91.7,0,23,0,0,0,Southampton
Jack Stephens,5.0,eng ENG,RB,23-317,90,0,0,0,0,0,0,1,0,50,2,2,2,0.0,0.0,0.0,1,0,27,37,73.0,3,25,2,2,1,Southampton
Fraser Forster,44.0,eng ENG,GK,29-268,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,7,22,31.8,0,15,0,0,0,Southampton
14 Players,,,,,990,1,1,0,0,6,3,2,0,521,14,20,14,1.3,1.3,1.3,12,2,310,405,76.5,30,330,17,18,12,Southampton
