Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Charlie Austin,10.0,eng ENG,FW,26-237,78,0,0,0,0,2,0,0,0,0,3,1,1,1,0,0,,,Southampton
Sadio Mané,10.0,sn SEN,"FW,MF",23-323,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,Southampton
Shane Long,7.0,ie IRL,FW,29-036,68,1,0,0,0,2,1,0,0,0,2,1,3,0,2,0,,,Southampton
Graziano Pellè,19.0,it ITA,FW,30-227,22,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,,,Southampton
Oriol Romeu,14.0,es ESP,CM,24-156,90,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,,,Southampton
Jordy Clasie,4.0,nl NED,CM,24-245,90,0,0,0,0,1,0,1,0,1,0,0,1,2,4,0,,,Southampton
Steven Davis,8.0,nir NIR,CM,31-057,90,0,0,0,0,0,0,1,0,1,1,0,8,0,4,0,,,Southampton
Matt Targett,33.0,eng ENG,CB,20-162,88,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,,,Southampton
James Ward-Prowse,16.0,eng ENG,MF,21-118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Southampton
Cédric Soares,2.0,pt POR,RB,24-180,90,0,0,0,0,0,0,0,0,1,1,0,6,3,1,0,,,Southampton
Ryan Bertrand,21.0,eng ENG,LB,26-206,90,0,0,0,0,0,0,1,0,2,0,0,4,0,3,0,,,Southampton
José Fonte,6.0,pt POR,CB,32-067,90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,Southampton
Virgil van Dijk,17.0,nl NED,CB,24-234,90,0,0,0,0,1,0,0,0,1,2,0,1,3,1,0,,,Southampton
Fraser Forster,1.0,eng ENG,GK,27-347,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Southampton
14 Players,,,,,990,1,0,0,0,7,2,3,0,10,11,5,26,12,18,0,,,Southampton
