Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Wilfried Bony,12.0,ci CIV,FW,27-331,70,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,Stoke City
Peter Crouch,25.0,eng ENG,FW,35-280,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Stoke City
Ramadan Sobhi,32.0,eg EGY,AM,19-287,83,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,0,Stoke City
Mame Biram Diouf,18.0,sn SEN,"FW,MF",28-325,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stoke City
Jonathan Walters,19.0,ie IRL,AM,33-046,90,0,1,0,0,1,0,0,0,1,0,1,8,0,0,0,0,0,Stoke City
Joe Allen,4.0,wls WAL,AM,26-236,90,0,0,0,0,1,0,1,0,2,3,0,0,0,1,0,0,0,Stoke City
Charlie Adam,16.0,sct SCO,DM,30-331,90,0,0,0,0,4,3,0,0,0,2,0,6,2,1,0,0,0,Stoke City
Glenn Whelan,6.0,ie IRL,DM,32-297,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Stoke City
Bojan Krkić,27.0,es ESP,"FW,MF",26-069,20,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Stoke City
Erik Pieters,3.0,nl NED,LB,28-090,90,0,0,0,0,0,0,0,0,3,2,0,3,1,2,0,0,0,Stoke City
Bruno Martins Indi,15.0,nl NED,CB,24-271,90,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,Stoke City
Ryan Shawcross,17.0,eng ENG,CB,29-032,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Stoke City
Phil Bardsley,2.0,sct SCO,RB,31-130,90,0,0,0,0,3,0,0,0,1,1,0,1,4,4,0,0,0,Stoke City
Lee Grant,33.0,eng ENG,GK,33-283,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stoke City
14 Players,,,,,990,1,1,0,0,12,4,1,0,10,11,1,20,13,16,1,0,0,Stoke City
