Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jesé,11.0,es ESP,FW,24-195,74,0,0,0,0,2,1,0,0,23,1,0,0,0.4,0.4,0.1,2,1,11,16,68.8,2,15,1,1,1,Stoke City
Saido Berahino,9.0,bi BDI,FW,24-036,16,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Stoke City
Eric Maxim Choupo-Moting,10.0,cm CMR,AM,28-170,90,2,0,0,0,6,2,0,0,43,3,1,2,0.8,0.8,0.0,5,0,17,26,65.4,4,27,5,5,4,Stoke City
Xherdan Shaqiri,22.0,ch SUI,AM,25-334,90,0,1,0,0,2,2,0,0,52,2,1,0,0.1,0.1,0.2,4,1,33,44,75.0,7,39,2,2,2,Stoke City
Darren Fletcher,24.0,sct SCO,CM,33-220,90,0,0,0,0,0,0,0,0,59,1,1,1,0.0,0.0,0.0,1,1,42,52,80.8,3,40,0,1,0,Stoke City
Joe Allen,4.0,wls WAL,CM,27-179,90,0,0,0,0,0,0,0,0,41,1,1,0,0.0,0.0,0.0,1,0,31,35,88.6,4,30,2,0,0,Stoke City
Erik Pieters,3.0,nl NED,WB,29-033,90,0,0,0,0,0,0,0,0,52,3,2,1,0.0,0.0,0.4,2,0,33,40,82.5,2,30,1,0,0,Stoke City
Mame Biram Diouf,18.0,sn SEN,WB,29-267,90,0,1,0,0,0,0,0,0,29,1,0,2,0.0,0.0,0.5,3,1,15,21,71.4,2,13,4,1,1,Stoke City
Kevin Wimmer,5.0,at AUT,CB,24-298,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,0.0,0,0,32,41,78.0,2,23,0,0,0,Stoke City
Geoff Cameron,20.0,us USA,CB,32-060,45,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,7,12,58.3,1,6,0,0,0,Stoke City
Bruno Martins Indi,15.0,nl NED,CB,25-213,45,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,6,0,0,0,Stoke City
Kurt Zouma,6.0,fr FRA,CB,22-317,90,0,0,0,0,0,0,0,0,46,2,0,3,0.0,0.0,0.0,0,0,25,31,80.6,1,17,0,1,1,Stoke City
Jack Butland,1.0,eng ENG,GK,24-183,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,17,36,47.2,0,17,0,0,0,Stoke City
13 Players,,,,,990,2,2,0,0,10,5,0,0,467,19,7,12,1.2,1.2,1.2,19,4,271,363,74.7,29,265,15,11,9,Stoke City
