Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jermain Defoe,18.0,eng ENG,FW,34-080,90,0,0,0,0,1,0,0,0,1,1,2,2,0,0,0,0,0,Sunderland
Fabio Borini,9.0,it ITA,FW,25-272,90,1,0,0,0,2,2,1,0,2,3,0,2,1,1,0,0,0,Sunderland
Victor Anichebe,28.0,ng NGA,FW,28-247,90,0,0,0,0,2,1,0,0,3,1,0,4,0,1,0,0,0,Sunderland
Didier Ibrahim Ndong,17.0,ga GAB,CM,22-192,85,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,Sunderland
Donald Love,22.0,sct SCO,"DF,MF",22-024,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunderland
Jason Denayer,4.0,be BEL,CM,21-181,90,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,Sunderland
Sebastian Larsson,7.0,se SWE,CM,31-203,82,0,0,0,0,1,0,0,0,1,0,0,4,2,1,0,0,0,Sunderland
Wahbi Khazri,10.0,tn TUN,"FW,MF",25-322,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Sunderland
Patrick van Aanholt,3.0,nl NED,LB,26-119,90,0,0,0,0,1,1,0,0,0,1,0,2,2,3,0,0,0,Sunderland
Papy Djilobodji,5.0,sn SEN,CB,28-025,90,0,0,0,0,2,0,0,0,0,0,0,1,3,2,0,0,0,Sunderland
Lamine Koné,23.0,ci CIV,CB,27-329,90,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Sunderland
Billy Jones,2.0,eng ENG,RB,29-277,90,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Sunderland
Jordan Pickford,13.0,eng ENG,GK,22-294,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunderland
13 Players,,,,,990,1,0,0,0,9,4,2,0,9,6,3,18,12,12,0,0,0,Sunderland
