Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Jermain Defoe,18.0,eng ENG,FW,33-025,90,1,0,0,0,5,4,1,0,0,2,0,1,1,0,0,,,Sunderland
Steven Fletcher,26.0,sct SCO,FW,28-220,74,1,0,0,0,4,3,0,0,1,0,0,0,0,0,0,,,Sunderland
Duncan Watmore,41.0,eng ENG,"FW,MF",21-238,16,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,,,Sunderland
Adam Johnson,11.0,eng ENG,LM,28-110,90,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,,,Sunderland
Yann M'Vila,21.0,fr FRA,CM,25-125,90,0,0,0,0,1,1,0,0,0,2,0,0,2,5,0,,,Sunderland
Lee Cattermole,6.0,eng ENG,CM,27-225,38,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,Sunderland
Jack Rodwell,8.0,eng ENG,"DF,MF",24-235,52,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,,,Sunderland
Patrick van Aanholt,3.0,nl NED,LB,25-064,90,0,1,0,0,2,0,0,0,0,0,1,5,4,4,0,,,Sunderland
DeAndre Yedlin,24.0,us USA,RM,22-115,63,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,,,Sunderland
Sebastian Larsson,7.0,se SWE,MF,30-148,27,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,Sunderland
Billy Jones,2.0,eng ENG,RB,28-222,90,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,,,Sunderland
Wes Brown,5.0,eng ENG,CB,36-019,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Sunderland
Sebastián Coates,22.0,uy URU,CB,25-025,90,0,1,0,0,0,0,0,0,1,0,0,2,2,4,1,,,Sunderland
Costel Pantilimon,1.0,ro ROU,GK,28-273,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sunderland
14 Players,,,,,990,2,2,0,0,17,9,2,0,5,6,2,14,15,17,1,,,Sunderland
