Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jordan Ayew,18.0,gh GHA,FW,26-223,90,0,0,0,0,0,0,0,0,30,2,0,0,0.0,0.0,0.0,0,0,13,17,76.5,0,17,1,6,4,Swansea City
Tom Carroll,14.0,eng ENG,"LM,LB,CM",25-329,90,0,0,0,0,0,0,0,0,28,0,1,2,0.0,0.0,0.0,0,0,11,19,57.9,1,15,0,1,1,Swansea City
Ki Sung-yueng,4.0,kr KOR,CM,29-088,64,0,0,0,0,0,0,0,0,15,1,2,0,0.0,0.0,0.1,1,0,8,11,72.7,1,9,0,0,0,Swansea City
Sam Clucas,17.0,eng ENG,"CM,LM",27-209,26,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,7,7,100.0,0,3,0,0,0,Swansea City
Andy King,24.0,wls WAL,CM,29-175,90,0,0,0,0,0,0,0,0,20,2,1,1,0.0,0.0,0.0,2,0,11,16,68.8,2,10,0,0,0,Swansea City
André Ayew,19.0,gh GHA,RM,28-126,90,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.0,0,0,16,19,84.2,1,13,0,1,1,Swansea City
Martin Olsson,16.0,se SWE,LB,29-340,74,0,0,0,0,1,0,1,0,24,1,3,0,0.1,0.1,0.0,1,0,11,16,68.8,0,12,3,4,3,Swansea City
Tammy Abraham,10.0,eng ENG,LM,20-202,16,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.1,2,0,1,1,100.0,0,3,1,2,0,Swansea City
Alfie Mawson,6.0,eng ENG,CB,24-093,90,0,0,0,0,2,1,0,0,34,0,0,2,0.1,0.1,0.0,1,0,20,23,87.0,2,22,1,2,1,Swansea City
Federico Fernández,33.0,ar ARG,CB,29-060,66,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0,Swansea City
Kyle Bartley,27.0,eng ENG,CB,26-335,24,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,Swansea City
Mike van der Hoorn,5.0,nl NED,CB,25-189,90,0,0,0,0,0,0,0,0,30,1,4,2,0.0,0.0,0.0,0,0,10,17,58.8,1,9,0,0,0,Swansea City
Kyle Naughton,26.0,eng ENG,RB,29-156,90,0,0,0,0,0,0,0,0,54,2,2,0,0.0,0.0,0.0,0,0,27,41,65.9,3,13,0,0,0,Swansea City
Łukasz Fabiański,1.0,pl POL,GK,33-004,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,14,31,45.2,0,16,0,0,0,Swansea City
14 Players,,,,,990,0,0,0,0,4,1,1,0,326,11,14,9,0.3,0.3,0.2,7,0,157,228,68.9,11,147,6,16,10,Swansea City
