Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Fernando Llorente,9.0,es ESP,FW,31-365,90,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,Swansea City
Gylfi Sigurðsson,23.0,is ISL,FW,27-170,90,0,1,0,0,1,1,0,0,1,1,0,2,0,2,0,0,0,Swansea City
Wayne Routledge,15.0,eng ENG,FW,32-049,80,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,Swansea City
Luciano Narsingh,28.0,nl NED,"FW,MF",26-165,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swansea City
Tom Carroll,42.0,eng ENG,CM,24-273,75,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,Swansea City
Jordan Ayew,3.0,gh GHA,"FW,MF",25-167,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swansea City
Jack Cork,24.0,eng ENG,CM,27-245,90,0,0,0,0,0,0,0,0,1,2,0,0,1,6,0,0,0,Swansea City
Leroy Fer,8.0,nl NED,CM,27-051,90,0,0,0,0,0,0,1,0,2,3,0,0,1,1,0,0,0,Swansea City
Martin Olsson,16.0,se SWE,LB,28-284,90,0,0,0,0,0,0,1,0,1,2,0,5,1,1,0,0,0,Swansea City
Alfie Mawson,6.0,eng ENG,CB,23-037,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,Swansea City
Federico Fernández,33.0,ar ARG,CB,28-004,90,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,0,Swansea City
Kyle Naughton,26.0,eng ENG,RB,28-100,90,0,0,0,0,0,0,1,0,2,0,0,1,2,2,0,0,0,Swansea City
Łukasz Fabiański,1.0,pl POL,GK,31-313,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swansea City
13 Players,,,,,990,1,1,0,0,3,2,3,0,14,11,0,10,11,18,0,0,0,Swansea City
