Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Fernando Llorente,9.0,es ESP,FW,32-006,90,2,0,0,0,6,2,0,0,1,1,0,0,0,0,0,0,0,Swansea City
Gylfi Sigurðsson,23.0,is ISL,FW,27-177,90,0,1,0,0,4,2,0,0,0,1,0,15,1,0,0,0,0,Swansea City
Luciano Narsingh,28.0,nl NED,FW,26-172,72,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,Swansea City
Jordan Ayew,3.0,gh GHA,"FW,MF",25-174,18,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,Swansea City
Tom Carroll,42.0,eng ENG,CM,24-280,89,0,1,0,0,1,1,0,0,0,1,0,7,3,0,0,0,0,Swansea City
Jordi Amat,2.0,id IDN,DF,24-348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swansea City
Jack Cork,24.0,eng ENG,CM,27-252,90,0,0,0,0,3,1,1,0,2,0,0,1,2,2,0,0,0,Swansea City
Leroy Fer,8.0,nl NED,CM,27-058,90,0,1,0,0,1,0,1,0,3,1,0,2,1,1,0,0,0,Swansea City
Martin Olsson,16.0,se SWE,LB,28-291,90,1,0,0,0,4,3,0,0,0,2,0,8,0,0,0,0,0,Swansea City
Alfie Mawson,6.0,eng ENG,CB,23-044,90,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,Swansea City
Federico Fernández,33.0,ar ARG,CB,28-011,90,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,Swansea City
Kyle Naughton,26.0,eng ENG,RB,28-107,88,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,Swansea City
Àngel Rangel,22.0,es ESP,DF,34-127,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Swansea City
Łukasz Fabiański,1.0,pl POL,GK,31-320,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swansea City
14 Players,,,,,990,3,3,0,0,23,10,2,0,8,13,1,46,7,4,0,0,2,Swansea City
