Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Harry Kane,10.0,eng ENG,FW,22-236,90,2,1,0,0,5,4,0,0,0,1,1,0,1,1,0,,,Tottenham Hotspur
Christian Eriksen,23.0,dk DEN,AM,24-035,90,1,0,0,0,4,2,0,0,1,0,0,2,0,2,0,,,Tottenham Hotspur
Érik Lamela,11.0,ar ARG,AM,24-016,65,0,0,0,0,0,0,0,0,1,1,1,5,1,0,0,,,Tottenham Hotspur
Tom Carroll,28.0,eng ENG,MF,23-297,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham Hotspur
Dele Alli,20.0,eng ENG,AM,19-344,81,0,1,0,0,2,1,0,0,3,0,1,1,1,1,0,,,Tottenham Hotspur
Ryan Mason,8.0,eng ENG,MF,24-281,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,Tottenham Hotspur
Mousa Dembélé,19.0,be BEL,DM,28-248,90,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,,,Tottenham Hotspur
Eric Dier,15.0,eng ENG,DM,22-065,89,0,0,0,0,2,0,0,0,1,0,0,1,2,2,0,,,Tottenham Hotspur
Nacer Chadli,22.0,be BEL,"FW,MF",26-231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham Hotspur
Danny Rose,3.0,eng ENG,LB,25-262,90,0,0,0,0,1,0,0,0,3,4,0,3,3,4,0,,,Tottenham Hotspur
Kevin Wimmer,27.0,at AUT,CB,23-126,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Tottenham Hotspur
Toby Alderweireld,4.0,be BEL,CB,27-018,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,Tottenham Hotspur
Kyle Walker,2.0,eng ENG,RB,25-297,90,0,1,0,0,2,0,0,0,0,0,0,1,2,2,0,,,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,29-085,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham Hotspur
14 Players,,,,,990,3,3,0,0,17,8,0,0,11,6,3,14,17,16,0,,,Tottenham Hotspur
Benik Afobe,9.0,cd COD,FW,23-037,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,Bournemouth
Lewis Grabban,28.0,eng ENG,"FW,MF",28-068,45,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,,,Bournemouth
Joshua King,17.0,no NOR,FW,24-065,90,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,,,Bournemouth
Max Gradel,10.0,ci CIV,LM,28-111,69,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,,,Bournemouth
Marc Pugh,7.0,eng ENG,"FW,MF",28-353,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
Andrew Surman,6.0,eng ENG,CM,29-213,90,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,,,Bournemouth
Harry Arter,8.0,ie IRL,CM,26-083,45,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,,,Bournemouth
Eunan O'Kane,32.0,ie IRL,MF,25-254,45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,Bournemouth
Matt Ritchie,30.0,sct SCO,RM,26-192,90,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,,,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,29-195,90,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,,,Bournemouth
Steve Cook,3.0,eng ENG,CB,24-336,90,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,,,Bournemouth
Simon Francis,2.0,eng ENG,CB,31-033,90,0,0,0,0,0,0,1,0,1,0,1,0,5,4,0,,,Bournemouth
Adam Smith,15.0,eng ENG,RB,24-326,90,0,0,0,0,0,0,0,0,2,5,0,4,3,2,0,,,Bournemouth
Artur Boruc,1.0,pl POL,GK,36-029,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
14 Players,,,,,990,0,0,0,0,2,0,1,0,6,11,6,22,16,18,0,,,Bournemouth
