Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Harry Kane,10.0,eng ENG,FW,24-285,90,1,0,0,0,3,1,0,0,31,0,1,0,0.2,0.2,0.0,1,0,9,17,52.9,1,23,0,1,0,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,LW,25-305,76,0,1,0,0,0,0,0,0,37,0,1,0,0.0,0.0,0.1,3,2,25,32,78.1,2,32,3,2,1,Tottenham Hotspur
Érik Lamela,11.0,ar ARG,AM,26-066,14,0,0,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.3,2,0,8,9,88.9,1,9,1,3,2,Tottenham Hotspur
Christian Eriksen,23.0,dk DEN,RW,26-084,90,0,0,0,0,1,1,0,0,67,1,0,0,0.1,0.1,0.1,4,0,52,65,80.0,14,37,2,1,1,Tottenham Hotspur
Dele Alli,20.0,eng ENG,"AM,LW",22-028,90,0,0,0,0,1,1,1,0,52,1,1,1,0.1,0.1,0.0,0,0,28,43,65.1,3,25,3,1,0,Tottenham Hotspur
Victor Wanyama,12.0,ke KEN,DM,26-318,87,0,0,0,0,2,0,0,0,60,2,2,0,0.1,0.1,0.0,3,0,40,47,85.1,6,35,5,4,4,Tottenham Hotspur
Danny Rose,3.0,eng ENG,DM,27-311,3,0,0,0,0,1,1,0,0,4,0,0,0,0.3,0.3,0.0,0,0,2,2,100.0,0,4,0,1,0,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,DM,28-266,90,0,0,0,0,1,1,0,0,60,1,0,3,0.1,0.1,0.1,1,0,41,51,80.4,3,38,3,0,0,Tottenham Hotspur
Ben Davies,33.0,wls WAL,LB,25-015,90,0,0,0,0,0,0,0,0,71,1,0,1,0.0,0.0,0.0,1,0,45,63,71.4,6,34,1,1,1,Tottenham Hotspur
Jan Vertonghen,5.0,be BEL,CB,31-015,90,0,0,0,0,2,2,0,0,102,1,0,1,0.1,0.1,0.0,1,0,75,86,87.2,13,62,1,3,2,Tottenham Hotspur
Davinson Sánchez,6.0,co COL,CB,21-331,90,0,0,0,0,0,0,0,0,100,2,2,1,0.0,0.0,0.0,1,0,83,87,95.4,4,60,1,0,0,Tottenham Hotspur
Kieran Trippier,2.0,eng ENG,RB,27-232,82,0,0,0,0,0,0,0,0,77,3,1,0,0.0,0.0,0.1,4,0,57,71,80.3,6,39,3,0,0,Tottenham Hotspur
Toby Alderweireld,4.0,be BEL,RB,29-068,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,31-134,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,29,35,82.9,0,20,0,0,0,Tottenham Hotspur
14 Players,,,,,990,1,1,0,0,11,7,2,0,712,12,8,7,0.8,0.8,0.7,21,2,495,610,81.1,59,419,23,17,11,Tottenham Hotspur
Dwight Gayle,9.0,eng ENG,FW,27-204,75,0,0,0,0,3,1,0,0,17,0,0,0,0.3,0.3,0.0,1,0,4,10,40.0,0,10,0,0,0,Newcastle United
Joselu,21.0,es ESP,FW,28-043,15,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,4,7,57.1,0,7,0,1,0,Newcastle United
Kenedy,15.0,br BRA,LW,22-090,70,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.0,3,0,15,17,88.2,3,18,0,2,1,Newcastle United
Jacob Murphy,7.0,eng ENG,LW,23-074,20,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.1,2,0,3,3,100.0,1,2,1,1,1,Newcastle United
Matt Ritchie,11.0,sct SCO,RW,28-241,90,0,0,0,0,1,0,1,0,36,1,0,3,0.0,0.0,0.0,3,0,16,27,59.3,5,16,1,0,0,Newcastle United
