Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Harry Kane,10.0,eng ENG,FW,28-130,90,0,0,0,0,5,2,0,0,37,0,0,1,0.4,0.4,0.0,1,1,12,22,54.5,2,27,3,4,2,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,AM,29-150,90,1,1,0,0,3,1,0,0,56,0,1,0,0.2,0.2,0.3,8,2,38,48,79.2,1,42,2,3,1,Tottenham Hotspur
Lucas Moura,27.0,br BRA,AM,29-114,79,1,0,0,0,2,1,0,0,43,1,2,0,0.1,0.1,0.1,8,1,30,35,85.7,5,32,2,3,3,Tottenham Hotspur
Steven Bergwijn,23.0,nl NED,AM,24-058,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,4,0,0,0,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,CM,26-122,90,0,0,0,0,2,1,0,0,78,0,1,1,0.1,0.1,0.1,2,0,65,70,92.9,3,66,1,0,0,Tottenham Hotspur
Oliver Skipp,29.0,eng ENG,CM,21-080,90,0,0,0,0,2,1,0,0,59,0,2,2,0.1,0.1,0.0,5,1,47,50,94.0,3,44,2,1,1,Tottenham Hotspur
Sergio Reguilón,3.0,es ESP,WB,24-354,21,0,0,0,0,0,0,1,0,9,1,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,5,0,0,0,Tottenham Hotspur
Ryan Sessegnon,19.0,eng ENG,WB,21-201,69,0,0,0,0,0,0,0,0,35,0,0,2,0.0,0.0,0.0,0,0,20,26,76.9,1,21,3,4,1,Tottenham Hotspur
Japhet Tanganga,25.0,eng ENG,WB,22-249,61,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,1,0,25,27,92.6,1,23,1,1,1,Tottenham Hotspur
Matt Doherty,2.0,ie IRL,WB,29-323,29,0,0,0,0,1,0,0,0,28,1,1,0,0.1,0.1,0.0,1,0,16,24,66.7,0,15,1,0,0,Tottenham Hotspur
Ben Davies,33.0,wls WAL,CB,28-225,90,0,1,0,0,1,0,0,0,56,1,2,0,0.6,0.6,0.2,3,1,40,48,83.3,7,38,2,0,0,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,27-324,90,0,0,0,0,0,0,0,0,66,1,0,0,0.0,0.0,0.0,0,0,48,55,87.3,2,47,0,0,0,Tottenham Hotspur
Davinson Sánchez,6.0,co COL,CB,25-176,90,1,0,0,0,1,1,0,0,58,4,1,1,0.2,0.2,0.0,1,0,38,50,76.0,2,33,3,0,0,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,34-344,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,0,15,0,0,0,Tottenham Hotspur
14 Players,,,,,990,3,2,0,0,17,7,1,0,595,10,11,9,1.7,1.7,0.8,30,6,414,493,84.0,27,412,20,16,9,Tottenham Hotspur
Teemu Pukki,22.0,fi FIN,FW,31-251,90,0,0,0,0,2,1,1,0,26,1,0,0,0.3,0.3,0.6,1,0,13,18,72.2,0,11,2,4,2,Norwich City
Adam Idah,35.0,ie IRL,FW,20-297,68,0,0,0,0,1,0,0,0,19,1,0,0,0.6,0.6,0.2,1,0,8,13,61.5,1,14,0,0,0,Norwich City
Josh Sargent,24.0,us USA,FW,21-288,22,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,0,1,1,Norwich City
Kenny McLean,23.0,sct SCO,CM,29-331,90,0,0,0,0,0,0,0,0,65,0,2,0,0.0,0.0,0.2,1,0,46,55,83.6,7,50,1,2,1,Norwich City
Billy Gilmour,8.0,sct SCO,CM,20-177,80,0,0,0,0,2,0,1,0,80,1,0,1,0.0,0.0,0.0,2,0,66,74,89.2,5,52,0,0,0,Norwich City
Jakob Sørensen,19.0,dk DEN,CM,23-277,10,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,9,0,1,1,Norwich City
Pierre Lees-Melou,20.0,fr FRA,CM,28-194,71,0,0,0,0,1,0,0,0,39,2,0,2,0.0,0.0,0.1,3,0,30,35,85.7,2,23,0,0,0,Norwich City
Kieran Dowell,10.0,eng ENG,CM,24-056,19,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,1,8,1,0,0,Norwich City
Brandon Williams,21.0,eng ENG,LB,21-093,90,0,0,0,0,1,0,0,0,95,3,2,2,0.1,0.1,0.2,4,0,69,79,87.3,6,58,4,2,1,Norwich City
Ben Gibson,4.0,eng ENG,CB,28-324,90,0,0,0,0,0,0,0,0,115,1,0,2,0.0,0.0,0.1,1,0,95,108,88.0,2,92,0,0,0,Norwich City
Grant Hanley,5.0,sct SCO,CB,30-015,90,0,0,0,0,2,0,0,0,112,2,2,0,0.2,0.2,0.0,1,0,99,106,93.4,2,94,0,0,0,Norwich City
Andrew Omobamidele,44.0,ie IRL,CB,19-165,90,0,0,0,0,1,0,0,0,103,1,0,0,0.1,0.1,0.0,1,0,92,99,92.9,6,82,0,0,0,Norwich City
Max Aarons,2.0,eng ENG,RB,21-335,90,0,0,0,0,0,0,0,0,65,5,0,1,0.0,0.0,0.0,1,0,44,57,77.2,6,42,3,3,2,Norwich City
Tim Krul,1.0,nl NED,GK,33-246,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,35,41,85.4,0,30,0,0,0,Norwich City
14 Players,,,,,990,0,0,0,0,10,1,2,0,797,18,6,8,1.3,1.3,1.3,16,0,619,714,86.7,39,570,11,13,8,Norwich City
