Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Harry Kane,10.0,eng ENG,FW,27-257,90,0,0,0,0,3,1,0,0,47,2,0,0,0.1,0.1,0.0,3,1,20,32,62.5,2,19,1,2,0,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,LW,28-277,90,1,0,0,0,4,2,0,0,60,2,0,1,0.5,0.5,0.2,4,0,36,45,80.0,4,27,2,3,1,Tottenham Hotspur
Lucas Moura,27.0,br BRA,RW,28-241,81,0,1,0,0,1,0,0,0,34,4,0,1,0.1,0.1,0.3,3,1,14,24,58.3,2,26,4,4,2,Tottenham Hotspur
Gareth Bale,9.0,wls WAL,RW,31-269,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,4,0,1,0,Tottenham Hotspur
Tanguy Ndombele,28.0,fr FRA,"LM,AM,DM",24-104,77,0,0,0,0,0,0,0,0,37,1,0,2,0.0,0.0,0.0,0,0,33,34,97.1,1,22,1,3,3,Tottenham Hotspur
Érik Lamela,11.0,ar ARG,AM,29-038,13,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,3,0,6,11,54.5,2,6,2,2,2,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,"CM,DM",25-249,90,0,0,0,0,0,0,0,0,74,4,1,4,0.0,0.0,0.1,2,0,47,59,79.7,5,35,0,2,1,Tottenham Hotspur
Giovani Lo Celso,18.0,ar ARG,"RM,AM",25-002,60,0,0,0,0,0,0,0,0,49,3,3,2,0.0,0.0,0.0,2,0,33,42,78.6,6,19,2,0,0,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,DM,31-238,30,0,0,0,0,1,0,1,0,14,0,0,0,0.0,0.0,0.0,1,0,8,12,66.7,0,7,0,0,0,Tottenham Hotspur
Sergio Reguilón,3.0,es ESP,LB,24-116,90,0,0,0,0,0,0,0,0,67,0,3,0,0.0,0.0,0.0,1,0,51,61,83.6,5,34,1,3,1,Tottenham Hotspur
Joe Rodon,14.0,wls WAL,CB,23-171,90,0,0,0,0,0,0,0,0,43,1,2,1,0.0,0.0,0.0,0,0,31,33,93.9,1,17,1,0,0,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,27-086,90,0,0,0,0,0,0,0,0,67,1,0,3,0.0,0.0,0.0,0,0,41,57,71.9,0,30,0,0,0,Tottenham Hotspur
Serge Aurier,24.0,ci CIV,RB,28-108,90,0,0,0,0,3,0,0,0,63,3,2,1,0.2,0.2,0.1,2,0,41,48,85.4,7,21,3,1,0,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,34-106,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,17,23,73.9,0,14,0,0,0,Tottenham Hotspur
14 Players,,,,,990,1,1,0,0,12,3,1,0,599,21,11,16,0.9,0.9,0.7,21,2,380,486,78.2,35,281,17,21,10,Tottenham Hotspur
