Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Son Heung-min,7.0,kr KOR,"FW,AM",26-206,90,1,0,0,0,5,2,0,0,52,0,0,3,0.2,0.2,0.0,4,0,23,35,65.7,2,36,3,9,6,Tottenham Hotspur
Fernando Llorente,18.0,es ESP,FW,33-338,90,1,1,0,0,4,1,0,0,39,0,0,2,1.2,1.2,0.1,3,0,17,25,68.0,0,18,1,0,0,Tottenham Hotspur
Christian Eriksen,23.0,dk DEN,CM,26-350,90,0,0,0,0,3,0,0,0,76,0,0,1,0.1,0.1,0.0,2,0,57,71,80.3,9,48,1,1,1,Tottenham Hotspur
Harry Winks,8.0,eng ENG,CM,22-362,90,0,0,0,0,0,0,0,0,85,2,1,0,0.0,0.0,0.1,3,1,66,76,86.8,6,58,3,2,1,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,"CM,WB",29-167,68,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.1,2,0,47,58,81.0,2,37,1,2,0,Tottenham Hotspur
Kieran Trippier,2.0,eng ENG,"RB,WB",28-133,22,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,1,0,13,18,72.2,0,9,0,0,0,Tottenham Hotspur
Danny Rose,3.0,eng ENG,"WB,LB",28-212,90,0,1,0,0,2,0,0,0,88,3,1,1,0.1,0.1,0.1,6,1,52,75,69.3,4,51,7,5,4,Tottenham Hotspur
Serge Aurier,24.0,ci CIV,WB,26-037,45,0,0,0,0,0,0,0,0,38,4,0,1,0.0,0.0,0.0,0,0,23,30,76.7,1,24,2,0,0,Tottenham Hotspur
Lucas Moura,27.0,br BRA,"AM,RM",26-170,45,0,0,0,0,0,0,0,0,17,1,1,0,0.0,0.0,0.0,2,0,7,11,63.6,1,14,2,3,3,Tottenham Hotspur
Jan Vertonghen,5.0,be BEL,CB,31-281,78,0,0,0,0,0,0,0,0,75,2,1,1,0.0,0.0,0.0,0,0,61,70,87.1,9,57,1,0,0,Tottenham Hotspur
Érik Lamela,11.0,ar ARG,LM,26-332,12,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,2,0,4,5,80.0,0,4,0,0,0,Tottenham Hotspur
Davinson Sánchez,6.0,co COL,CB,22-232,90,0,0,0,0,1,0,0,0,76,3,0,0,0.0,0.0,0.0,0,0,55,62,88.7,6,39,0,1,0,Tottenham Hotspur
Toby Alderweireld,4.0,be BEL,CB,29-334,90,0,0,0,0,1,0,0,0,93,0,0,0,0.0,0.0,0.2,2,0,74,83,89.2,17,71,2,0,0,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,32-035,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,26,0,0,0,Tottenham Hotspur
14 Players,,,,,990,2,2,0,0,17,3,0,0,762,16,5,9,1.8,1.8,0.7,27,2,528,655,80.6,57,492,23,23,15,Tottenham Hotspur
