Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Harry Kane,10.0,eng ENG,FW,27-068,90,2,1,1,1,6,2,0,0,38,0,1,1,1.4,0.6,0.2,6,2,23,28,82.1,7,24,2,1,0,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,LW,28-088,72,2,1,0,0,2,2,0,0,41,0,0,2,0.4,0.4,0.6,6,1,34,35,97.1,4,18,1,0,0,Tottenham Hotspur
Ben Davies,33.0,wls WAL,LB,27-163,18,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,2,2,21,24,87.5,2,13,2,1,1,Tottenham Hotspur
Érik Lamela,11.0,ar ARG,RW,28-214,45,0,0,0,0,2,0,1,0,24,2,1,0,0.1,0.1,0.0,2,0,12,16,75.0,1,12,2,4,4,Tottenham Hotspur
Lucas Moura,27.0,br BRA,RW,28-052,45,0,0,0,0,0,0,0,0,19,0,2,0,0.0,0.0,0.0,2,1,10,14,71.4,0,4,0,1,0,Tottenham Hotspur
Tanguy Ndombele,28.0,fr FRA,LM,23-281,68,1,0,0,0,3,1,0,0,66,3,2,3,0.6,0.6,0.0,3,0,43,49,87.8,4,34,3,3,2,Tottenham Hotspur
Dele Alli,20.0,eng ENG,LM,24-176,22,0,0,0,0,1,0,0,0,24,1,0,0,0.1,0.1,0.0,0,0,19,22,86.4,1,13,0,0,0,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,CM,25-060,90,0,1,0,0,1,0,0,0,112,3,2,0,0.0,0.0,0.3,4,1,98,104,94.2,7,73,0,0,0,Tottenham Hotspur
Moussa Sissoko,17.0,fr FRA,RM,31-049,90,0,0,0,0,0,0,0,0,77,3,2,0,0.0,0.0,0.0,3,2,66,67,98.5,3,41,0,1,1,Tottenham Hotspur
Sergio Reguilón,3.0,es ESP,"LB,LW",23-293,90,0,0,0,0,2,0,0,0,91,3,0,4,0.1,0.1,0.5,5,0,58,74,78.4,4,46,1,3,2,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,26-263,90,0,0,0,0,0,0,0,0,89,0,0,1,0.0,0.0,0.0,0,0,81,84,96.4,1,63,0,0,0,Tottenham Hotspur
Davinson Sánchez,6.0,co COL,CB,24-114,90,0,0,0,0,1,0,0,0,98,3,0,2,0.4,0.4,0.0,1,0,82,87,94.3,3,63,0,0,0,Tottenham Hotspur
Serge Aurier,24.0,ci CIV,RB,27-285,90,1,1,0,0,3,2,0,0,85,4,2,0,0.4,0.4,0.3,3,0,60,71,84.5,7,44,5,1,1,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,33-283,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,14,0,0,0,Tottenham Hotspur
14 Players,,,,,990,6,4,1,1,21,7,1,0,818,23,12,13,3.5,2.7,2.0,37,9,626,699,89.6,44,462,16,15,11,Tottenham Hotspur
