Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Troy Deeney,9.0,eng ENG,FW,28-059,90,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,Watford
Odion Ighalo,24.0,ng NGA,FW,27-072,90,0,0,0,0,3,2,1,0,0,0,0,1,1,1,0,0,0,Watford
Étienne Capoue,29.0,fr FRA,CM,28-047,90,0,0,0,0,2,1,0,0,3,4,0,6,2,3,0,0,0,Watford
Valon Behrami,11.0,ch SUI,CM,31-130,90,0,0,0,0,1,0,1,0,3,1,0,0,1,1,0,0,0,Watford
Adlène Guedioura,17.0,dz ALG,CM,30-289,45,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,Watford
Roberto Pereyra,37.0,ar ARG,"DF,FW",25-233,45,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,Watford
José Holebas,25.0,gr GRE,LM,32-061,90,0,0,0,0,2,1,1,0,3,1,0,3,0,1,0,0,0,Watford
Nordin Amrabat,7.0,ma MAR,RM,29-149,76,0,0,0,0,0,0,1,0,4,4,0,7,1,0,0,0,1,Watford
Isaac Success,10.0,ng NGA,"FW,MF",20-233,14,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,Watford
Christian Kabasele,27.0,be BEL,CB,25-185,51,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Watford
Daryl Janmaat,22.0,nl NED,DF,27-036,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Watford
Sebastian Prödl,5.0,at AUT,CB,29-067,90,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,Watford
Younès Kaboul,4.0,fr FRA,CB,30-236,90,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Watford
Heurelho Gomes,1.0,br BRA,GK,35-194,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Watford
14 Players,,,,,990,1,0,0,0,14,6,6,0,18,13,1,26,9,11,0,0,1,Watford
Alexis Sánchez,7.0,cl CHI,FW,27-252,90,1,1,0,0,3,3,0,0,5,3,0,1,1,1,0,1,0,Arsenal
Alex Oxlade-Chamberlain,15.0,eng ENG,AM,23-012,69,0,0,0,0,1,0,0,0,3,1,1,1,1,1,0,0,0,Arsenal
Mohamed Elneny,35.0,eg EGY,MF,24-047,21,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,Arsenal
Theo Walcott,14.0,eng ENG,AM,27-164,90,0,1,0,0,3,2,0,0,0,4,2,3,1,2,0,0,0,Arsenal
Mesut Özil,11.0,de GER,AM,27-317,69,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,Arsenal
Jack Wilshere,10.0,eng ENG,MF,24-239,21,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0,0,0,Arsenal
Granit Xhaka,29.0,ch SUI,DM,23-335,90,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,Arsenal
Santi Cazorla,19.0,es ESP,DM,31-258,90,1,0,1,1,2,1,0,0,1,0,0,5,2,0,0,0,0,Arsenal
Nacho Monreal,18.0,es ESP,LB,30-183,73,0,0,0,0,0,0,0,0,3,1,0,1,3,1,0,0,0,Arsenal
Kieran Gibbs,3.0,eng ENG,"DF,MF",26-336,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arsenal
Laurent Koscielny,6.0,fr FRA,CB,30-352,90,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,Arsenal
Rob Holding,16.0,eng ENG,CB,20-342,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,Arsenal
Héctor Bellerín,24.0,es ESP,RB,21-161,90,0,0,0,0,0,0,0,0,1,2,0,3,1,3,0,0,0,Arsenal
Petr Čech,33.0,cz CZE,GK,34-099,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arsenal
14 Players,,,,,990,3,2,1,1,10,7,1,0,15,18,4,16,17,16,0,1,0,Arsenal
