Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Joshua King,7.0,no NOR,FW,29-320,90,0,0,0,0,1,0,0,0,29,0,0,1,0.0,0.0,0.0,2,0,14,20,70.0,2,14,0,1,1,Watford
João Pedro,10.0,br BRA,LM,20-066,90,0,0,0,0,1,0,0,0,35,1,1,0,0.1,0.1,0.1,4,0,17,29,58.6,7,19,1,0,0,Watford
Moussa Sissoko,19.0,fr FRA,CM,32-107,90,0,1,0,0,1,1,0,0,49,0,1,0,0.5,0.5,0.1,4,2,33,43,76.7,6,26,3,3,3,Watford
Tom Cleverley,8.0,eng ENG,CM,32-111,84,0,0,0,0,2,2,1,0,58,1,0,0,0.1,0.1,0.1,3,0,39,52,75.0,5,30,1,0,0,Watford
Jeremy Ngakia,2.0,,CM,21-085,6,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,1,5,1,1,0,Watford
Emmanuel Dennis,25.0,ng NGA,RM,24-016,90,1,0,0,0,1,1,0,0,58,2,1,2,0.1,0.1,0.5,6,0,24,36,66.7,4,39,6,7,3,Watford
Imran Louza,6.0,ma MAR,DM,22-214,72,0,0,0,0,3,0,1,0,57,1,3,1,0.1,0.1,0.1,3,0,36,46,78.3,4,12,0,0,0,Watford
Juraj Kucka,33.0,sk SVK,DM,34-278,18,0,0,0,0,2,1,0,0,10,1,0,0,0.1,0.1,0.0,0,0,2,6,33.3,0,3,2,0,0,Watford
Adam Masina,11.0,ma MAR,LB,27-333,11,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0,Watford
Danny Rose,3.0,eng ENG,LB,31-152,79,0,0,0,0,2,1,1,0,53,1,1,1,0.1,0.1,0.0,2,0,18,42,42.9,5,23,3,1,0,Watford
Craig Cathcart,15.0,nir NIR,CB,32-298,90,0,0,0,0,0,0,0,0,36,1,2,0,0.0,0.0,0.0,0,0,20,32,62.5,1,11,0,0,0,Watford
William Troost-Ekong,5.0,ng NGA,CB,28-091,90,0,0,0,0,0,0,1,0,38,1,1,3,0.0,0.0,0.0,0,0,19,30,63.3,1,17,0,0,0,Watford
Kiko Femenía,21.0,es ESP,RB,30-302,90,0,0,0,0,1,0,0,0,105,1,4,2,0.0,0.0,0.0,3,0,64,92,69.6,5,43,5,1,1,Watford
Daniel Bachmann,26.0,at AUT,GK,27-145,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,15,30,50.0,0,20,0,0,0,Watford
14 Players,,,,,990,1,1,0,0,14,6,4,0,573,10,15,10,1.0,1.0,0.9,27,2,306,469,65.2,41,264,22,14,8,Watford
Kai Havertz,29.0,de GER,"FW,AM",22-173,90,0,1,0,0,1,1,0,0,34,1,0,1,0.0,0.0,0.4,2,1,14,20,70.0,2,19,3,4,4,Chelsea
Christian Pulisic,10.0,us USA,"AM,WB",23-074,90,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,1,0,10,21,47.6,1,16,4,2,1,Chelsea
Mason Mount,19.0,eng ENG,"AM,CM",22-325,90,1,1,0,0,2,1,0,0,39,2,1,0,0.3,0.3,0.2,2,1,14,23,60.9,0,15,0,2,1,Chelsea
Saúl Ñíguez,17.0,es ESP,CM,27-010,45,0,0,0,0,1,0,1,0,19,2,0,1,0.2,0.2,0.0,0,0,10,13,76.9,0,6,0,0,0,Chelsea
Thiago Silva,6.0,br BRA,CB,37-070,45,0,0,0,0,0,0,0,0,30,0,1,0,0.0,0.0,0.0,0,0,18,24,75.0,0,10,0,0,0,Chelsea
Ruben Loftus-Cheek,12.0,eng ENG,CM,25-312,90,0,0,0,0,1,0,0,0,50,0,0,0,0.0,0.0,0.0,2,0,35,45,77.8,7,22,2,1,1,Chelsea
Marcos Alonso,3.0,es ESP,WB,30-338,90,0,0,0,0,0,0,1,0,76,3,3,4,0.0,0.0,0.0,3,2,30,56,53.6,3,15,2,0,0,Chelsea
César Azpilicueta,28.0,es ESP,WB,32-095,68,0,0,0,0,1,0,0,0,53,2,0,1,0.0,0.0,0.0,0,0,26,45,57.8,3,17,2,0,0,Chelsea
Romelu Lukaku,9.0,be BEL,FW,28-202,22,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,3,0,0,0,Chelsea
Antonio Rüdiger,2.0,de GER,CB,28-273,90,0,0,0,0,0,0,0,0,82,2,5,0,0.0,0.0,0.0,0,0,48,61,78.7,3,33,0,1,1,Chelsea
Andreas Christensen,4.0,dk DEN,CB,25-235,90,0,0,0,0,0,0,0,0,72,0,3,0,0.0,0.0,0.0,0,0,53,60,88.3,4,27,1,0,0,Chelsea
Trevoh Chalobah,14.0,eng ENG,"CB,CM",22-149,59,0,0,0,0,0,0,0,0,45,0,1,1,0.0,0.0,0.0,1,0,30,37,81.1,1,16,0,0,0,Chelsea
Hakim Ziyech,22.0,ma MAR,AM,28-257,31,1,0,0,0,2,2,1,0,22,0,0,1,0.3,0.3,0.0,0,0,10,16,62.5,2,12,0,1,1,Chelsea
Edouard Mendy,16.0,sn SEN,GK,29-275,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,21,28,75.0,0,13,0,0,0,Chelsea
