Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Salomón Rondón,9.0,ve VEN,FW,26-339,90,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,West Bromwich Albion
Saido Berahino,18.0,bi BDI,FW,23-016,77,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,West Bromwich Albion
Rickie Lambert,17.0,eng ENG,FW,34-186,13,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,West Bromwich Albion
Craig Gardner,8.0,eng ENG,LM,29-269,63,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,West Bromwich Albion
James McClean,14.0,ie IRL,"DF,FW",27-120,27,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,CM,29-033,90,0,0,0,0,1,0,0,0,3,1,0,1,3,3,0,0,0,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,CM,32-201,90,0,0,0,0,1,1,0,0,2,2,0,0,2,2,0,0,0,West Bromwich Albion
Matt Phillips,10.0,sct SCO,RM,25-160,64,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,West Bromwich Albion
Jonathan Leko,45.0,eng ENG,"FW,MF",17-118,26,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,West Bromwich Albion
Jonny Evans,6.0,nir NIR,LB,28-230,90,0,0,0,0,0,0,1,0,2,0,0,1,1,3,0,0,0,West Bromwich Albion
Jonas Olsson,3.0,se SWE,CB,33-163,90,0,0,0,0,0,0,1,0,1,1,0,0,1,4,0,0,0,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,36-259,90,1,0,0,0,2,1,0,0,1,1,0,0,2,3,0,0,0,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,26-106,90,0,0,0,0,1,1,0,0,0,1,0,2,2,2,0,0,0,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,33-139,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,West Bromwich Albion
14 Players,,,,,990,1,1,0,0,11,5,3,0,16,9,0,18,15,19,0,0,0,West Bromwich Albion
