Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Salomón Rondón,9.0,ve VEN,FW,28-126,90,0,0,0,0,8,2,0,0,56,1,0,2,0.4,0.4,0.0,4,1,25,35,71.4,3,33,2,3,2,West Bromwich Albion
Jay Rodriguez,19.0,eng ENG,FW,28-175,78,1,0,0,0,1,1,0,0,32,1,0,0,0.4,0.4,0.1,2,0,18,24,75.0,3,20,1,0,0,West Bromwich Albion
James McClean,14.0,ie IRL,FW,28-273,12,0,0,0,0,0,0,0,0,12,2,1,0,0.0,0.0,0.0,1,0,2,7,28.6,0,3,0,0,0,West Bromwich Albion
Chris Brunt,11.0,nir NIR,LM,33-037,78,0,0,0,0,0,0,0,0,41,1,0,3,0.0,0.0,0.1,3,0,20,35,57.1,4,20,2,1,1,West Bromwich Albion
Jake Livermore,8.0,eng ENG,LM,28-067,12,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,2,0,0,0,West Bromwich Albion
Gareth Barry,18.0,eng ENG,CM,36-331,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.0,1,0,19,36,52.8,2,19,0,1,1,West Bromwich Albion
Grzegorz Krychowiak,20.0,pl POL,CM,27-356,90,0,1,0,0,3,1,0,0,49,1,1,2,0.1,0.1,0.4,4,1,20,35,57.1,6,23,2,2,2,West Bromwich Albion
Matt Phillips,10.0,sct SCO,RM,26-313,90,0,0,0,0,3,1,0,0,44,0,1,4,0.2,0.2,0.1,2,0,17,25,68.0,1,25,2,2,2,West Bromwich Albion
Kieran Gibbs,3.0,eng ENG,LB,28-116,90,0,0,0,0,0,0,0,0,76,3,3,0,0.0,0.0,0.1,3,0,47,67,70.1,3,21,2,0,0,West Bromwich Albion
Ahmed Hegazi,26.0,eg EGY,CB,26-360,90,0,0,0,0,0,0,0,0,40,1,2,2,0.0,0.0,0.1,1,0,21,29,72.4,0,12,0,0,0,West Bromwich Albion
Jonny Evans,6.0,nir NIR,CB,30-017,79,0,0,0,0,0,0,0,0,32,0,3,4,0.0,0.0,0.0,1,0,14,23,60.9,0,10,1,0,0,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,38-046,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,1,2,0,0,0,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,27-259,90,0,0,0,0,0,0,1,0,54,1,3,1,0.0,0.0,0.0,1,0,28,45,62.2,3,12,0,0,0,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,34-292,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,18,37,48.6,0,19,0,0,0,West Bromwich Albion
14 Players,,,,,990,1,1,0,0,15,5,1,0,534,15,15,19,1.1,1.1,1.0,25,2,252,406,62.1,26,221,12,9,8,West Bromwich Albion
