Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Salomón Rondón,9.0,ve VEN,FW,28-239,70,0,0,0,0,1,0,0,0,26,1,0,2,0.0,0.0,0.0,0,0,14,17,82.4,0,15,1,3,2,West Bromwich Albion
Hal Robson-Kanu,4.0,wls WAL,FW,28-357,20,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,4,8,50.0,1,7,0,0,0,West Bromwich Albion
Grzegorz Krychowiak,20.0,pl POL,FW,28-104,61,0,0,0,0,1,0,0,0,36,2,0,1,0.0,0.0,0.0,3,0,22,30,73.3,3,15,0,0,0,West Bromwich Albion
Nacer Chadli,22.0,be BEL,RM,28-284,29,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,6,0,0,0,West Bromwich Albion
James McClean,14.0,ie IRL,LM,29-021,90,0,0,0,0,3,1,0,0,50,1,3,0,0.1,0.1,0.0,3,0,25,37,67.6,1,31,4,7,3,West Bromwich Albion
Chris Brunt,11.0,nir NIR,CM,33-150,90,0,0,0,0,1,0,1,0,75,8,3,1,0.1,0.1,0.1,4,0,51,60,85.0,8,36,1,0,0,West Bromwich Albion
Jake Livermore,8.0,eng ENG,CM,28-180,90,0,0,0,0,0,0,0,0,70,3,2,1,0.0,0.0,0.0,0,0,51,63,81.0,7,51,1,1,1,West Bromwich Albion
Jay Rodriguez,19.0,eng ENG,"RM,FW",28-288,72,0,0,0,0,1,0,0,0,27,4,0,1,0.0,0.0,0.0,0,0,11,13,84.6,1,17,1,2,1,West Bromwich Albion
Daniel Sturridge,15.0,eng ENG,FW,28-254,18,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,1,7,1,1,1,West Bromwich Albion
Kieran Gibbs,3.0,eng ENG,LB,28-229,90,0,0,0,0,0,0,1,0,57,2,3,0,0.0,0.0,0.0,0,0,36,47,76.6,0,30,0,1,0,West Bromwich Albion
Ahmed Hegazi,26.0,eg EGY,CB,27-108,90,0,0,0,0,0,0,0,0,42,2,3,1,0.0,0.0,0.0,0,0,25,31,80.6,3,23,0,0,0,West Bromwich Albion
Craig Dawson,25.0,eng ENG,CB,28-007,90,0,0,0,0,0,0,1,0,49,4,4,0,0.0,0.0,0.0,1,0,31,38,81.6,3,20,1,0,0,West Bromwich Albion
Allan Nyom,2.0,cm CMR,RB,30-003,90,0,0,0,0,0,0,0,0,47,6,1,0,0.0,0.0,0.0,0,0,22,33,66.7,1,21,1,0,0,West Bromwich Albion
Ben Foster,1.0,eng ENG,GK,35-040,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,0,17,24,70.8,0,12,0,0,0,West Bromwich Albion
14 Players,,,,,990,0,0,0,0,7,1,3,0,533,33,19,8,0.2,0.2,0.1,14,0,319,415,76.9,29,291,11,15,8,West Bromwich Albion
