Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Diafra Sakho,15.0,sn SEN,FW,25-340,73,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,,,West Ham United
Nikica Jelavić,26.0,hr CRO,FW,30-094,17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,West Ham United
Mauro Zárate,10.0,ar ARG,AM,28-256,81,1,0,0,0,6,3,0,0,1,4,0,5,5,0,0,,,West Ham United
Michail Antonio,30.0,jm JAM,"FW,MF",25-246,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,22-287,90,0,0,0,0,2,2,0,0,1,2,0,4,1,0,0,,,West Ham United
Cheikhou Kouyaté,8.0,sn SEN,DM,25-343,90,0,0,0,0,1,0,0,0,0,2,0,1,2,2,0,,,West Ham United
Victor Moses,20.0,ng NGA,AM,24-352,90,0,0,0,0,2,0,0,0,4,1,0,2,1,0,0,,,West Ham United
Pedro Obiang,14.0,gq EQG,DM,23-247,63,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,,,West Ham United
Andy Carroll,9.0,eng ENG,FW,26-327,27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,25-349,90,0,0,0,0,1,1,0,0,1,1,0,7,2,0,0,,,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,27-190,90,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,West Ham United
Winston Reid,2.0,nz NZL,CB,27-149,90,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,,,West Ham United
Carl Jenkinson,12.0,eng ENG,RB,23-294,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,,,West Ham United
Adrián,13.0,es ESP,GK,28-330,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Ham United
14 Players,,,,,990,1,0,0,0,17,6,0,0,15,16,0,20,17,7,1,,,West Ham United
Salomón Rondón,9.0,ve VEN,FW,26-074,90,0,0,0,0,2,1,0,0,3,0,1,2,0,0,0,,,West Bromwich Albion
James Morrison,7.0,sct SCO,AM,29-188,90,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,,,West Bromwich Albion
James McClean,14.0,ie IRL,DM,26-221,90,0,0,0,0,2,1,0,0,2,0,1,12,3,0,0,,,West Bromwich Albion
Claudio Yacob,5.0,ar ARG,DM,28-134,90,0,0,0,0,0,0,1,0,4,3,0,0,1,4,0,,,West Bromwich Albion
Darren Fletcher,24.0,sct SCO,DM,31-301,90,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,,,West Bromwich Albion
Stéphane Sessègnon,29.0,bj BEN,DM,31-181,45,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,,,West Bromwich Albion
Rickie Lambert,17.0,eng ENG,FW,33-286,45,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,,,West Bromwich Albion
Jonny Evans,6.0,nir NIR,CB,27-330,90,0,0,0,0,0,0,0,0,0,3,0,0,8,2,0,,,West Bromwich Albion
Jonas Olsson,3.0,se SWE,LB,32-264,90,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,,West Bromwich Albion
Gareth McAuley,23.0,nir NIR,CB,35-359,90,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,,,West Bromwich Albion
Craig Dawson,25.0,eng ENG,RB,25-207,90,0,0,0,0,0,0,0,0,1,4,0,1,2,2,0,,,West Bromwich Albion
Boaz Myhill,13.0,wls WAL,GK,33-020,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,West Bromwich Albion
12 Players,,,,,990,0,0,0,0,7,3,2,0,16,15,2,21,17,14,0,,,West Bromwich Albion
