Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Joshua King,17.0,no NOR,FW,23-296,72,0,0,0,0,4,3,0,0,1,0,2,0,1,0,0,,,Bournemouth
Yann Kermorgant,18.0,fr FRA,FW,33-364,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Bournemouth
Junior Stanislas,19.0,eng ENG,DM,25-346,72,0,0,0,0,1,0,0,0,1,1,0,11,1,1,0,,,Bournemouth
Lee Tomlin,24.0,eng ENG,"FW,MF",26-299,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Bournemouth
Dan Gosling,4.0,eng ENG,DM,25-279,90,0,0,0,0,3,1,0,0,0,4,1,0,4,1,0,,,Bournemouth
Harry Arter,8.0,ie IRL,AM,25-314,78,0,0,0,0,4,0,1,0,1,1,0,0,3,0,0,,,Bournemouth
Tokelo Rantie,9.0,za RSA,FW,25-060,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Bournemouth
Matt Ritchie,30.0,sct SCO,DM,26-058,90,0,0,0,0,5,1,0,0,3,2,0,21,1,0,0,,,Bournemouth
Andrew Surman,6.0,eng ENG,DM,29-079,90,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,,,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,29-061,90,0,0,0,0,1,0,0,0,0,1,0,7,2,2,0,,,Bournemouth
Sylvain Distin,25.0,fr FRA,CB,37-326,90,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,,,Bournemouth
Simon Francis,2.0,eng ENG,CB,30-264,90,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,,Bournemouth
Adam Smith,15.0,eng ENG,RB,24-192,90,0,0,0,0,1,0,1,0,1,0,0,3,1,3,0,,,Bournemouth
Adam Federici,23.0,au AUS,GK,30-280,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
14 Players,,,,,990,0,0,0,0,20,5,2,0,9,11,4,44,18,13,0,,,Bournemouth
Ayoze Pérez,17.0,es ESP,FW,22-101,76,1,0,0,0,1,1,0,0,2,2,0,1,2,2,0,,,Newcastle United
Florian Thauvin,20.0,fr FRA,"FW,MF",22-285,14,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,,,Newcastle United
Aleksandar Mitrović,45.0,rs SRB,FW,21-052,62,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,,,Newcastle United
Papiss Cissé,9.0,sn SEN,FW,30-157,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,Newcastle United
Georginio Wijnaldum,5.0,nl NED,CM,24-361,90,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Newcastle United
Cheick Tioté,24.0,ci CIV,CM,29-139,90,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,,,Newcastle United
Vurnon Anita,8.0,cw CUW,LM,26-217,89,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,,,Newcastle United
Kevin Mbabu,43.0,ch SUI,"DF,MF",20-202,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Newcastle United
Moussa Sissoko,7.0,fr FRA,RM,26-083,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Newcastle United
Paul Dummett,3.0,wls WAL,LB,24-042,90,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,,,Newcastle United
Fabricio Coloccini,2.0,ar ARG,CB,33-289,90,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,,,Newcastle United
Chancel Mbemba,18.0,cd COD,CB,21-091,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Newcastle United
Daryl Janmaat,22.0,nl NED,RB,26-108,90,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,,,Newcastle United
Rob Elliot,21.0,ie IRL,GK,29-191,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Newcastle United
14 Players,,,,,990,1,1,0,0,2,1,2,0,11,9,3,3,19,15,0,,,Newcastle United
