Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Callum Wilson,13.0,eng ENG,FW,23-162,90,0,0,0,0,2,1,0,0,2,2,0,3,0,0,0,,,Bournemouth
Joshua King,17.0,no NOR,FW,23-205,52,0,0,0,0,2,0,1,0,4,2,0,0,1,0,0,,,Bournemouth
Yann Kermorgant,18.0,fr FRA,FW,33-273,38,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,,Bournemouth
Marc Pugh,7.0,eng ENG,LM,28-128,68,0,0,0,0,2,1,0,0,1,1,0,3,3,1,0,,,Bournemouth
Max Gradel,10.0,ci CIV,"FW,MF",27-251,22,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,,,Bournemouth
Andrew Surman,6.0,eng ENG,CM,28-353,90,0,0,0,0,2,0,0,0,0,1,0,1,1,2,0,,,Bournemouth
Dan Gosling,4.0,eng ENG,CM,25-188,83,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,,,Bournemouth
Eunan O'Kane,32.0,ie IRL,MF,25-029,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
Matt Ritchie,30.0,sct SCO,RM,25-332,90,0,0,0,0,2,0,0,0,1,1,0,8,1,2,0,,,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,28-335,90,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,,,Bournemouth
Steve Cook,3.0,eng ENG,CB,24-111,90,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,,,Bournemouth
Tommy Elphick,5.0,eng ENG,CB,27-335,90,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,,,Bournemouth
Simon Francis,2.0,eng ENG,RB,30-173,90,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,,,Bournemouth
Artur Boruc,1.0,pl POL,GK,35-169,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bournemouth
14 Players,,,,,990,0,0,0,0,11,2,3,0,13,13,0,27,11,16,0,,,Bournemouth
