Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Joshua King,17.0,no NOR,FW,24-295,90,0,0,0,0,3,2,1,0,3,2,1,4,1,0,0,0,0,Bournemouth
Jordon Ibe,33.0,eng ENG,AM,20-333,45,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,Bournemouth
Benik Afobe,9.0,cd COD,FW,23-267,45,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,Bournemouth
Junior Stanislas,19.0,eng ENG,AM,26-345,81,0,0,0,0,4,2,0,0,0,1,0,6,0,0,0,0,0,Bournemouth
Ryan Fraser,24.0,sct SCO,"FW,MF",22-255,9,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,Bournemouth
Jack Wilshere,32.0,eng ENG,AM,24-309,90,0,0,0,0,3,1,0,0,0,3,0,3,0,0,0,0,0,Bournemouth
Harry Arter,8.0,ie IRL,DM,26-313,75,0,0,0,0,2,1,1,0,2,1,0,3,0,0,0,0,0,Bournemouth
Lys Mousset,31.0,fr FRA,"FW,MF",20-271,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Bournemouth
Dan Gosling,4.0,eng ENG,DM,26-278,90,1,0,0,0,5,1,0,0,3,2,0,1,1,2,0,0,0,Bournemouth
Charlie Daniels,11.0,eng ENG,LB,30-059,90,0,0,0,0,0,0,0,0,0,2,0,3,2,2,0,0,0,Bournemouth
Steve Cook,3.0,eng ENG,CB,25-200,90,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,Bournemouth
Simon Francis,2.0,eng ENG,CB,31-263,90,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RB,25-190,90,0,1,0,0,0,0,1,0,3,1,0,5,2,1,0,0,0,Bournemouth
Artur Boruc,1.0,pl POL,GK,36-259,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bournemouth
14 Players,,,,,990,1,1,0,0,22,7,3,0,14,17,1,32,10,6,0,0,0,Bournemouth
