Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Sam Vokes,9.0,wls WAL,FW,26-347,90,0,0,0,0,3,0,0,0,1,3,4,0,0,1,0,0,0,Burnley
George Boyd,21.0,sct SCO,LM,31-000,90,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,Burnley
Jóhann Berg Guðmundsson,25.0,is ISL,RM,25-341,90,0,0,0,0,2,1,0,0,0,0,0,4,3,3,0,0,0,Burnley
Steven Defour,16.0,be BEL,CM,28-170,61,0,0,0,0,0,0,0,0,1,0,0,2,4,4,0,0,0,Burnley
Scott Arfield,37.0,ca CAN,MF,27-336,29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Burnley
Dean Marney,8.0,eng ENG,CM,32-245,90,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,Burnley
Jeff Hendrick,13.0,ie IRL,CM,24-245,90,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,Burnley
Stephen Ward,23.0,ie IRL,LB,31-043,90,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,Burnley
Ben Mee,6.0,eng ENG,CB,27-011,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Burnley
Michael Keane,5.0,eng ENG,CB,23-265,90,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,Burnley
Matthew Lowton,2.0,eng ENG,RB,27-115,90,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,Burnley
Tom Heaton,1.0,eng ENG,GK,30-170,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burnley
12 Players,,,,,990,0,0,0,0,10,1,0,0,3,3,4,20,18,21,0,0,0,Burnley
