Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,
Roberto Firmino,11.0,br BRA,FW,24-127,90,1,1,0,0,5,1,0,0,0,1,2,4,2,1,0,,,Liverpool
Joe Allen,24.0,wls WAL,CM,25-329,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,Liverpool
Jordon Ibe,33.0,eng ENG,"FW,MF",20-060,46,0,0,0,0,3,1,0,0,0,0,0,1,1,1,0,,,Liverpool
James Milner,7.0,eng ENG,FW,30-033,90,0,1,0,0,0,0,0,0,0,0,0,11,1,1,0,,,Liverpool
Adam Lallana,20.0,eng ENG,FW,27-272,90,1,0,0,0,3,2,0,0,0,1,1,4,1,1,0,,,Liverpool
Emre Can,23.0,de GER,CM,22-025,90,0,0,0,0,0,0,0,0,1,2,0,0,5,1,0,,,Liverpool
Jordan Henderson,14.0,eng ENG,CM,25-234,85,0,0,0,0,3,0,0,0,1,0,0,2,1,0,0,,,Liverpool
Lucas Leiva,21.0,br BRA,MF,29-028,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,Liverpool
Alberto Moreno,18.0,es ESP,LB,23-216,90,0,0,0,0,2,1,1,0,2,1,0,2,2,1,0,,,Liverpool
Mamadou Sakho,17.0,fr FRA,CB,25-358,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,Liverpool
Dejan Lovren,6.0,hr CRO,CB,26-216,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Liverpool
Kolo Touré,4.0,ci CIV,DF,34-324,79,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,Liverpool
Nathaniel Clyne,2.0,eng ENG,RB,24-307,90,0,0,0,0,0,0,0,0,0,2,0,2,1,4,0,,,Liverpool
Simon Mignolet,22.0,be BEL,GK,27-337,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Liverpool
14 Players,,,,,990,2,2,0,0,16,5,1,0,4,11,3,26,17,13,0,,,Liverpool
Jermain Defoe,18.0,eng ENG,FW,33-122,90,1,0,0,0,2,1,0,0,1,0,2,0,1,0,0,,,Sunderland
Wahbi Khazri,10.0,tn TUN,LW,24-363,90,0,2,0,0,0,0,0,0,3,1,0,4,4,1,0,,,Sunderland
Yann M'Vila,21.0,fr FRA,AM,25-222,90,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,,,Sunderland
Lee Cattermole,6.0,eng ENG,AM,27-322,90,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,,,Sunderland
Duncan Watmore,41.0,eng ENG,RW,21-335,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,Sunderland
Dame N'Doye,10.0,sn SEN,FW,30-350,66,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,,,Sunderland
Jan Kirchhoff,27.0,de GER,DM,25-128,65,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,,,Sunderland
Adam Johnson,11.0,eng ENG,MF,28-207,25,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,,,Sunderland
Patrick van Aanholt,3.0,nl NED,LB,25-161,90,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,,,Sunderland
John O'Shea,16.0,ie IRL,CB,34-282,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,Sunderland
Lamine Koné,23.0,ci CIV,CB,27-005,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,,,Sunderland
Billy Jones,2.0,eng ENG,RB,28-319,74,0,0,0,0,0,0,0,0,1,0,0,2,2,3,0,,,Sunderland
DeAndre Yedlin,24.0,us USA,"DF,MF",22-212,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sunderland
Vito Mannone,1.0,it ITA,GK,27-341,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Sunderland
14 Players,,,,,990,2,2,0,0,7,2,1,0,12,4,2,7,16,16,0,,,Sunderland
